,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,13.29,0.00,0.00,0.00,0.00,60.26,0.00,59.33,0.00,0.00,0,18999
1,13.27,0.00,0.00,0.00,0.00,60.22,0.00,59.18,0.00,0.00,0,3999
2,13.26,0.00,0.00,0.00,0.00,60.19,0.00,59.13,0.00,0.00,0,2999
3,13.28,0.00,0.00,0.00,0.00,60.22,0.00,59.27,0.00,0.00,0,8999
4,13.29,0.00,0.00,0.00,0.00,60.28,0.00,59.33,0.00,0.00,0,21699
5,13.29,0.00,0.00,0.00,0.00,60.29,0.00,59.33,0.00,0.00,0,21599
6,13.29,0.00,0.00,0.00,0.00,60.29,0.00,59.33,0.00,0.00,0,21999
7,13.29,0.00,0.00,0.00,0.00,60.28,0.00,59.33,0.00,0.00,0,21799
8,13.28,0.00,0.00,0.00,0.00,60.25,0.00,59.31,0.00,0.00,0,11999
9,13.29,0.00,0.00,0.00,0.00,60.27,0.00,59.32,0.00,0.00,0,15999
10,13.29,0.00,0.00,0.00,0.00,60.26,0.00,59.31,0.00,0.00,0,13999
11,13.28,0.00,0.00,0.00,0.00,60.23,0.00,59.29,0.00,0.00,0,9999
12,13.27,0.00,0.00,0.00,0.00,60.20,0.00,59.21,0.00,0.00,0,4999
13,13.29,0.00,0.00,0.00,0.00,60.27,0.00,59.32,0.00,0.00,0,16999
14,13.27,0.00,0.00,0.00,0.00,60.20,0.00,59.23,0.00,0.00,0,5999
15,13.27,0.00,0.00,0.00,0.00,60.19,0.00,59.24,0.00,0.00,0,6999
16,13.29,0.00,0.00,0.00,0.00,60.26,0.00,59.32,0.00,0.00,0,17999
17,13.29,0.00,0.00,0.00,0.00,60.27,0.00,59.33,0.00,0.00,0,19999
18,13.29,0.00,0.00,0.00,0.00,60.25,0.00,59.32,0.00,0.00,0,12999
19,13.28,0.00,0.00,0.00,0.00,60.22,0.00,59.26,0.00,0.00,0,7999
20,13.24,0.00,0.00,0.00,0.00,60.10,0.00,59.05,0.00,0.00,0,1999
21,13.21,0.00,0.00,0.00,0.00,59.91,0.00,58.95,0.00,0.00,0,999
22,13.29,0.00,0.00,0.00,0.00,60.28,0.00,59.33,0.00,0.00,0,21899
23,13.29,0.00,0.00,0.00,0.00,60.27,0.00,59.33,0.00,0.00,0,20999
24,13.28,0.00,0.00,0.00,0.00,60.25,0.00,59.30,0.00,0.00,0,10999
25,13.29,0.00,0.00,0.00,0.00,60.27,0.00,59.32,0.00,0.00,0,14999
