,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,13.48,0.00,0.00,0.00,0.00,60.43,0.00,60.91,0.00,0.00,0,18999
1,13.45,0.00,0.00,0.00,0.00,60.46,0.00,60.63,0.00,0.00,0,3999
2,13.44,0.00,0.00,0.00,0.00,60.39,0.00,60.58,0.00,0.00,0,2999
3,13.49,0.00,0.00,0.00,0.00,60.45,0.00,60.95,0.00,0.00,0,23099
4,13.46,0.00,0.00,0.00,0.00,60.41,0.00,60.77,0.00,0.00,0,8999
5,13.49,0.00,0.00,0.00,0.00,60.45,0.00,60.94,0.00,0.00,0,21999
6,13.47,0.00,0.00,0.00,0.00,60.42,0.00,60.83,0.00,0.00,0,11999
7,13.49,0.00,0.00,0.00,0.00,60.45,0.00,60.95,0.00,0.00,0,22899
8,13.48,0.00,0.00,0.00,0.00,60.40,0.00,60.90,0.00,0.00,0,15999
9,13.49,0.00,0.00,0.00,0.00,60.45,0.00,60.95,0.00,0.00,0,22999
10,13.48,0.00,0.00,0.00,0.00,60.42,0.00,60.86,0.00,0.00,0,13999
11,13.47,0.00,0.00,0.00,0.00,60.41,0.00,60.79,0.00,0.00,0,9999
12,13.46,0.00,0.00,0.00,0.00,60.43,0.00,60.67,0.00,0.00,0,4999
13,13.48,0.00,0.00,0.00,0.00,60.40,0.00,60.90,0.00,0.00,0,16999
14,13.46,0.00,0.00,0.00,0.00,60.44,0.00,60.69,0.00,0.00,0,5999
15,13.46,0.00,0.00,0.00,0.00,60.42,0.00,60.72,0.00,0.00,0,6999
16,13.48,0.00,0.00,0.00,0.00,60.42,0.00,60.90,0.00,0.00,0,17999
17,13.49,0.00,0.00,0.00,0.00,60.44,0.00,60.93,0.00,0.00,0,19999
18,13.47,0.00,0.00,0.00,0.00,60.42,0.00,60.84,0.00,0.00,0,12999
19,13.46,0.00,0.00,0.00,0.00,60.43,0.00,60.75,0.00,0.00,0,7999
20,13.43,0.00,0.00,0.00,0.00,60.34,0.00,60.53,0.00,0.00,0,1999
21,13.41,0.00,0.00,0.00,0.00,60.30,0.00,60.40,0.00,0.00,0,999
22,13.49,0.00,0.00,0.00,0.00,60.45,0.00,60.95,0.00,0.00,0,22799
23,13.49,0.00,0.00,0.00,0.00,60.44,0.00,60.93,0.00,0.00,0,20999
24,13.47,0.00,0.00,0.00,0.00,60.40,0.00,60.81,0.00,0.00,0,10999
25,13.48,0.00,0.00,0.00,0.00,60.41,0.00,60.88,0.00,0.00,0,14999
