,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,13.33,0.00,0.00,0.00,0.00,60.46,0.00,59.54,0.00,0.00,0,18999
1,13.31,0.00,0.00,0.00,0.00,60.37,0.00,59.41,0.00,0.00,0,3999
2,13.31,0.00,0.00,0.00,0.00,60.35,0.00,59.41,0.00,0.00,0,2999
3,13.34,0.00,0.00,0.00,0.00,60.49,0.00,59.58,0.00,0.00,0,23099
4,13.32,0.00,0.00,0.00,0.00,60.41,0.00,59.45,0.00,0.00,0,8999
5,13.34,0.00,0.00,0.00,0.00,60.49,0.00,59.57,0.00,0.00,0,21999
6,13.33,0.00,0.00,0.00,0.00,60.45,0.00,59.48,0.00,0.00,0,11999
7,13.34,0.00,0.00,0.00,0.00,60.49,0.00,59.58,0.00,0.00,0,22899
8,13.33,0.00,0.00,0.00,0.00,60.47,0.00,59.51,0.00,0.00,0,15999
9,13.34,0.00,0.00,0.00,0.00,60.49,0.00,59.58,0.00,0.00,0,22999
10,13.33,0.00,0.00,0.00,0.00,60.46,0.00,59.50,0.00,0.00,0,13999
11,13.32,0.00,0.00,0.00,0.00,60.43,0.00,59.46,0.00,0.00,0,9999
12,13.31,0.00,0.00,0.00,0.00,60.40,0.00,59.42,0.00,0.00,0,4999
13,13.33,0.00,0.00,0.00,0.00,60.47,0.00,59.52,0.00,0.00,0,16999
14,13.31,0.00,0.00,0.00,0.00,60.39,0.00,59.42,0.00,0.00,0,5999
15,13.32,0.00,0.00,0.00,0.00,60.41,0.00,59.43,0.00,0.00,0,6999
16,13.33,0.00,0.00,0.00,0.00,60.47,0.00,59.53,0.00,0.00,0,17999
17,13.33,0.00,0.00,0.00,0.00,60.45,0.00,59.55,0.00,0.00,0,19999
18,13.33,0.00,0.00,0.00,0.00,60.45,0.00,59.49,0.00,0.00,0,12999
19,13.32,0.00,0.00,0.00,0.00,60.40,0.00,59.44,0.00,0.00,0,7999
20,13.30,0.00,0.00,0.00,0.00,60.28,0.00,59.42,0.00,0.00,0,1999
21,13.29,0.00,0.00,0.00,0.00,60.19,0.00,59.46,0.00,0.00,0,999
22,13.34,0.00,0.00,0.00,0.00,60.48,0.00,59.58,0.00,0.00,0,22799
23,13.34,0.00,0.00,0.00,0.00,60.47,0.00,59.55,0.00,0.00,0,20999
24,13.32,0.00,0.00,0.00,0.00,60.44,0.00,59.47,0.00,0.00,0,10999
25,13.33,0.00,0.00,0.00,0.00,60.49,0.00,59.51,0.00,0.00,0,14999
