,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,6.66,0.00,0.00,0.00,0.00,33.91,0.00,26.02,0.00,0.00,2,34999.ckpt
1,6.71,0.00,0.00,0.00,0.00,34.08,0.00,26.35,0.00,0.00,2,41999.ckpt
2,6.44,0.00,0.00,0.00,0.00,31.33,0.00,26.61,0.00,0.00,1,24999.ckpt
3,8.47,0.00,0.00,0.00,0.00,43.64,0.00,32.63,0.00,0.00,1,14999.ckpt
4,12.09,0.00,0.00,0.00,0.00,55.49,0.00,53.33,0.00,0.00,0,3999.ckpt
5,7.65,0.00,0.00,0.00,0.00,40.37,0.00,28.45,0.00,0.00,1,17999.ckpt
6,12.16,0.00,0.00,0.00,0.00,55.87,0.00,53.61,0.00,0.00,0,2999.ckpt
7,7.15,0.00,0.00,0.00,0.00,35.15,0.00,29.20,0.00,0.00,3,50999.ckpt
8,6.75,0.00,0.00,0.00,0.00,33.50,0.00,27.24,0.00,0.00,3,49999.ckpt
9,7.15,0.00,0.00,0.00,0.00,36.15,0.00,28.22,0.00,0.00,1,18999.ckpt
10,10.66,0.00,0.00,0.00,0.00,49.82,0.00,46.16,0.00,0.00,0,8999.ckpt
11,7.76,0.00,0.00,0.00,0.00,40.30,0.00,29.53,0.00,0.00,1,21999.ckpt
12,6.81,0.00,0.00,0.00,0.00,32.82,0.00,28.43,0.00,0.00,3,43999.ckpt
13,7.34,0.00,0.00,0.00,0.00,37.74,0.00,28.36,0.00,0.00,3,46999.ckpt
14,6.52,0.00,0.00,0.00,0.00,31.66,0.00,27.05,0.00,0.00,2,37999.ckpt
15,6.69,0.00,0.00,0.00,0.00,32.07,0.00,28.14,0.00,0.00,2,30999.ckpt
16,6.85,0.00,0.00,0.00,0.00,34.13,0.00,27.52,0.00,0.00,1,25999.ckpt
17,8.28,0.00,0.00,0.00,0.00,42.33,0.00,32.21,0.00,0.00,1,16999.ckpt
18,6.67,0.00,0.00,0.00,0.00,30.68,0.00,29.37,0.00,0.00,3,52999.ckpt
19,6.36,0.00,0.00,0.00,0.00,30.43,0.00,26.79,0.00,0.00,3,48999.ckpt
20,6.39,0.00,0.00,0.00,0.00,28.55,0.00,28.94,0.00,0.00,2,28999.ckpt
21,6.46,0.00,0.00,0.00,0.00,32.83,0.00,25.33,0.00,0.00,1,22999.ckpt
22,6.77,0.00,0.00,0.00,0.00,34.43,0.00,26.49,0.00,0.00,2,39999.ckpt
23,8.75,0.00,0.00,0.00,0.00,46.35,0.00,32.39,0.00,0.00,0,11999.ckpt
24,6.68,0.00,0.00,0.00,0.00,31.54,0.00,28.54,0.00,0.00,3,47999.ckpt
25,6.64,0.00,0.00,0.00,0.00,31.20,0.00,28.59,0.00,0.00,3,53999.ckpt
26,6.43,0.00,0.00,0.00,0.00,30.56,0.00,27.27,0.00,0.00,3,51999.ckpt
27,6.93,0.00,0.00,0.00,0.00,34.52,0.00,27.86,0.00,0.00,2,31999.ckpt
28,6.67,0.00,0.00,0.00,0.00,31.23,0.00,28.82,0.00,0.00,2,36999.ckpt
29,7.30,0.00,0.00,0.00,0.00,37.59,0.00,28.08,0.00,0.00,3,55999.ckpt
30,7.49,0.00,0.00,0.00,0.00,37.22,0.00,30.21,0.00,0.00,1,19999.ckpt
31,8.35,0.00,0.00,0.00,0.00,43.15,0.00,32.04,0.00,0.00,0,13999.ckpt
32,7.13,0.00,0.00,0.00,0.00,34.57,0.00,29.63,0.00,0.00,1,27999.ckpt
33,6.85,0.00,0.00,0.00,0.00,34.83,0.00,26.79,0.00,0.00,2,38999.ckpt
34,7.71,0.00,0.00,0.00,0.00,41.76,0.00,27.59,0.00,0.00,1,20999.ckpt
35,6.62,0.00,0.00,0.00,0.00,31.75,0.00,27.79,0.00,0.00,2,35999.ckpt
36,10.10,0.00,0.00,0.00,0.00,48.50,0.00,42.36,0.00,0.00,0,9999.ckpt
37,12.05,0.00,0.00,0.00,0.00,55.72,0.00,52.70,0.00,0.00,0,4999.ckpt
38,11.63,0.00,0.00,0.00,0.00,53.88,0.00,50.76,0.00,0.00,0,5999.ckpt
39,11.69,0.00,0.00,0.00,0.00,54.62,0.00,50.56,0.00,0.00,0,6999.ckpt
40,7.02,0.00,0.00,0.00,0.00,34.63,0.00,28.56,0.00,0.00,1,23999.ckpt
