,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,15.06,0.00,0.00,0.00,0.00,63.58,0.00,71.93,0.00,0.00,0,89999
1,15.14,0.00,0.00,0.00,0.00,64.34,0.00,71.89,0.00,0.00,0,143999
2,15.15,0.00,0.00,0.00,0.00,64.32,0.00,72.05,0.00,0.00,0,93599
3,14.95,0.00,0.00,0.00,0.00,63.49,0.00,71.10,0.00,0.00,0,68399
4,15.02,0.00,0.00,0.00,0.00,62.98,0.00,72.17,0.00,0.00,0,100799
5,14.91,0.00,0.00,0.00,0.00,62.84,0.00,71.36,0.00,0.00,0,79199
6,15.28,0.00,0.00,0.00,0.00,64.85,0.00,72.65,0.00,0.00,0,32399
7,15.17,0.00,0.00,0.00,0.00,63.93,0.00,72.60,0.00,0.00,0,111599
8,15.16,0.00,0.00,0.00,0.00,64.49,0.00,71.93,0.00,0.00,0,14399
9,14.75,0.00,0.00,0.00,0.00,62.52,0.00,70.25,0.00,0.00,0,61199
10,15.06,0.00,0.00,0.00,0.00,63.93,0.00,71.65,0.00,0.00,0,151199
11,15.11,0.00,0.00,0.00,0.00,63.73,0.00,72.29,0.00,0.00,0,122399
12,15.03,0.00,0.00,0.00,0.00,63.99,0.00,71.29,0.00,0.00,0,39599
13,15.20,0.00,0.00,0.00,0.00,64.25,0.00,72.54,0.00,0.00,0,21599
14,15.00,0.00,0.00,0.00,0.00,63.93,0.00,71.11,0.00,0.00,0,43199
15,15.13,0.00,0.00,0.00,0.00,64.04,0.00,72.09,0.00,0.00,0,115199
16,14.89,0.00,0.00,0.00,0.00,63.06,0.00,70.93,0.00,0.00,0,64799
17,15.09,0.00,0.00,0.00,0.00,64.01,0.00,71.84,0.00,0.00,0,50399
18,15.04,0.00,0.00,0.00,0.00,63.89,0.00,71.45,0.00,0.00,0,154799
19,15.17,0.00,0.00,0.00,0.00,63.76,0.00,72.78,0.00,0.00,0,107999
20,15.24,0.00,0.00,0.00,0.00,64.63,0.00,72.50,0.00,0.00,0,28799
21,15.20,0.00,0.00,0.00,0.00,64.81,0.00,72.02,0.00,0.00,0,125999
22,15.19,0.00,0.00,0.00,0.00,64.27,0.00,72.43,0.00,0.00,0,104399
23,14.80,0.00,0.00,0.00,0.00,62.75,0.00,70.43,0.00,0.00,0,82799
24,15.11,0.00,0.00,0.00,0.00,64.17,0.00,71.85,0.00,0.00,0,10799
25,15.01,0.00,0.00,0.00,0.00,63.64,0.00,71.47,0.00,0.00,0,75599
26,15.17,0.00,0.00,0.00,0.00,64.05,0.00,72.45,0.00,0.00,0,17999
27,15.16,0.00,0.00,0.00,0.00,64.60,0.00,71.87,0.00,0.00,0,133199
28,15.14,0.00,0.00,0.00,0.00,64.29,0.00,71.94,0.00,0.00,0,136799
29,15.04,0.00,0.00,0.00,0.00,63.55,0.00,71.84,0.00,0.00,0,3599
30,15.06,0.00,0.00,0.00,0.00,63.70,0.00,71.85,0.00,0.00,0,158399
31,15.26,0.00,0.00,0.00,0.00,64.78,0.00,72.58,0.00,0.00,0,35999
32,15.00,0.00,0.00,0.00,0.00,62.98,0.00,72.01,0.00,0.00,0,97199
33,14.89,0.00,0.00,0.00,0.00,63.25,0.00,70.80,0.00,0.00,0,53999
34,15.07,0.00,0.00,0.00,0.00,63.27,0.00,72.34,0.00,0.00,0,118799
35,15.06,0.00,0.00,0.00,0.00,64.16,0.00,71.38,0.00,0.00,0,147599
36,15.14,0.00,0.00,0.00,0.00,63.89,0.00,72.36,0.00,0.00,0,25199
37,15.01,0.00,0.00,0.00,0.00,63.75,0.00,71.37,0.00,0.00,0,161999
38,15.03,0.00,0.00,0.00,0.00,63.51,0.00,71.80,0.00,0.00,0,71999
39,14.95,0.00,0.00,0.00,0.00,63.11,0.00,71.41,0.00,0.00,0,86399
40,15.06,0.00,0.00,0.00,0.00,63.85,0.00,71.71,0.00,0.00,0,129599
41,15.13,0.00,0.00,0.00,0.00,64.51,0.00,71.67,0.00,0.00,0,140399
42,14.91,0.00,0.00,0.00,0.00,64.22,0.00,69.95,0.00,0.00,0,46799
43,15.11,0.00,0.00,0.00,0.00,64.35,0.00,71.63,0.00,0.00,0,165599
44,15.08,0.00,0.00,0.00,0.00,63.67,0.00,72.04,0.00,0.00,0,7199
45,15.03,0.00,0.00,0.00,0.00,63.92,0.00,71.36,0.00,0.00,0,169199
46,15.01,0.00,0.00,0.00,0.00,63.75,0.00,71.34,0.00,0.00,0,57599
