,Avg.,SICKRelatedness,STS12,STS13,STS14,STS15,STS16,STSBenchmark,epoch,step
0,63.92,61.97,54.67,71.04,60.08,68.21,67.98,63.51,0,799
1,63.87,61.99,54.54,70.99,60.02,68.24,67.97,63.34,0,399
2,63.94,61.91,54.82,71.07,60.12,68.13,67.87,63.63,0,1399
3,63.83,61.98,54.45,70.96,59.98,68.24,67.96,63.23,0,199
4,63.91,61.98,54.64,71.01,60.07,68.23,67.98,63.47,0,699
5,63.85,61.98,54.50,70.97,60.01,68.24,67.95,63.29,0,299
6,63.80,61.98,54.41,70.93,59.96,68.23,67.95,63.17,0,99
7,63.91,61.83,54.94,71.05,60.09,68.03,67.75,63.68,0,1899
8,63.91,61.99,54.61,71.01,60.07,68.23,67.99,63.44,0,599
9,63.93,61.93,54.77,71.06,60.11,68.17,67.90,63.59,0,1199
10,63.93,61.94,54.75,71.06,60.10,68.18,67.92,63.58,0,1099
11,63.92,61.85,54.89,71.04,60.10,68.07,67.80,63.67,0,1699
12,63.93,61.92,54.80,71.06,60.11,68.15,67.88,63.61,0,1299
13,63.93,61.87,54.87,71.06,60.11,68.10,67.83,63.65,0,1599
14,63.93,61.97,54.70,71.05,60.09,68.21,67.97,63.54,0,899
15,63.89,61.98,54.58,71.01,60.04,68.24,67.98,63.40,0,499
16,63.90,61.81,54.96,71.05,60.08,68.02,67.72,63.68,0,1999
17,63.93,61.96,54.72,71.05,60.09,68.20,67.94,63.55,0,999
18,63.91,61.83,54.91,71.05,60.09,68.05,67.77,63.68,0,1799
19,63.93,61.89,54.84,71.06,60.11,68.12,67.84,63.64,0,1499
