,Avg.,SICKRelatedness,STS12,STS13,STS14,STS15,STS16,STSBenchmark,epoch,step
0,64.54,62.32,55.11,71.83,61.25,68.52,68.60,64.16,0,799
1,64.51,62.29,55.10,71.78,61.23,68.53,68.62,64.00,0,399
2,64.52,62.28,55.14,71.85,61.21,68.43,68.49,64.26,0,1399
3,64.48,62.26,55.09,71.75,61.21,68.53,68.61,63.92,0,199
4,64.53,62.31,55.11,71.82,61.25,68.52,68.62,64.11,0,699
5,64.50,62.28,55.10,71.77,61.23,68.53,68.60,63.96,0,299
6,64.46,62.25,55.08,71.73,61.20,68.51,68.60,63.88,0,99
7,64.45,62.21,55.13,71.79,61.10,68.31,68.34,64.28,0,1899
8,64.53,62.31,55.11,71.81,61.25,68.53,68.62,64.07,0,599
9,64.53,62.29,55.13,71.84,61.24,68.46,68.54,64.24,0,1199
10,64.54,62.30,55.12,71.84,61.24,68.48,68.56,64.23,0,1099
11,64.49,62.24,55.14,71.82,61.15,68.36,68.42,64.29,0,1699
12,64.53,62.29,55.14,71.84,61.22,68.44,68.52,64.25,0,1299
13,64.50,62.25,55.15,71.84,61.17,68.39,68.46,64.27,0,1599
14,64.55,62.31,55.12,71.83,61.26,68.51,68.60,64.19,0,899
15,64.52,62.30,55.10,71.80,61.24,68.53,68.61,64.04,0,499
16,64.44,62.19,55.13,71.78,61.08,68.28,68.31,64.28,0,1999
17,64.54,62.31,55.12,71.83,61.25,68.50,68.58,64.21,0,999
18,64.47,62.22,55.13,71.81,61.13,68.33,68.38,64.28,0,1799
19,64.51,62.27,55.14,71.84,61.19,68.41,68.48,64.27,0,1499
