,Avg.,SICKRelatedness,STS12,STS13,STS14,STS15,STS16,STSBenchmark,epoch,step
0,57.81,56.25,51.16,66.03,54.36,61.75,60.21,54.91,0,49999
1,46.08,45.81,42.75,52.00,42.66,49.19,50.20,39.94,0,249999
2,48.81,47.81,44.20,55.53,45.87,52.58,52.67,43.03,0,209999
3,55.16,53.15,48.87,63.27,52.16,59.68,58.04,50.97,0,89999
4,44.40,44.74,41.87,49.85,40.62,47.02,48.74,37.99,0,279999
5,51.45,49.85,45.59,59.01,48.78,55.67,55.20,46.07,0,169999
6,50.91,49.37,45.27,58.33,48.23,55.06,54.77,45.33,0,179999
7,44.87,45.03,42.11,50.44,41.19,47.60,49.10,38.60,0,269999
8,53.00,51.08,46.85,60.95,50.22,57.38,56.42,48.13,0,139999
9,46.73,46.30,43.11,52.84,43.42,50.03,50.70,40.72,0,239999
10,54.75,52.73,48.49,62.86,51.76,59.25,57.67,50.48,0,99999
11,45.50,45.46,42.44,51.26,41.94,48.42,49.68,39.30,0,259999
12,56.90,55.08,50.43,65.14,53.67,61.14,59.47,53.36,0,59999
13,58.69,57.63,51.96,66.82,54.89,62.21,60.79,56.53,0,39999
14,43.25,44.03,41.30,48.37,39.19,45.50,47.65,36.73,0,299999
15,50.32,48.92,44.96,57.53,47.53,54.37,54.18,44.74,0,189999
16,61.18,60.12,54.32,69.10,56.73,64.35,63.15,60.50,0,9999
17,43.77,44.35,41.55,49.04,39.83,46.16,48.16,37.30,0,289999
18,52.06,50.33,46.00,59.77,49.38,56.34,55.78,46.85,0,159999
19,42.74,43.71,41.03,47.73,38.57,44.85,47.14,36.15,0,309999
20,60.13,59.49,53.47,68.18,55.75,63.31,61.73,58.95,0,19999
21,49.55,48.35,44.57,56.52,46.66,53.47,53.41,43.90,0,199999
22,55.59,53.66,49.23,63.75,52.53,60.11,58.37,51.51,0,79999
23,54.39,52.34,48.17,62.47,51.42,58.87,57.42,50.06,0,109999
24,52.61,50.75,46.43,60.47,49.90,56.94,56.20,47.60,0,149999
25,48.02,47.21,43.80,54.49,44.97,51.64,51.89,42.14,0,219999
26,47.34,46.72,43.44,53.60,44.16,50.81,51.29,41.35,0,229999
27,53.95,51.89,47.75,62.04,51.05,58.42,57.08,49.45,0,119999
28,53.50,51.52,47.29,61.52,50.65,57.90,56.76,48.85,0,129999
29,59.40,58.75,52.63,67.45,55.27,62.64,61.22,57.84,0,29999
30,56.19,54.27,49.77,64.39,53.08,60.60,58.91,52.30,0,69999
