,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step,STS12,STS13,STS14,STS15,STS16
0,0,0.0,0.0,0.0,14.66,0.0,0.0,0.0,0.0,65.15,0.0,66.78,0.0,0.0,0,89999,,,,,
1,1,1.0,1.0,1.0,14.99,0.0,0.0,0.0,0.0,65.21,0.0,69.72,0.0,0.0,0,143999,,,,,
2,2,2.0,2.0,2.0,14.76,0.0,0.0,0.0,0.0,64.3,0.0,68.54,0.0,0.0,0,93599,,,,,
3,3,3.0,3.0,3.0,14.72,0.0,0.0,0.0,0.0,64.75,0.0,67.76,0.0,0.0,0,68399,,,,,
4,4,4.0,4.0,4.0,15.07,0.0,0.0,0.0,0.0,67.17,0.0,68.5,0.0,0.0,0,100799,,,,,
5,5,5.0,5.0,5.0,14.76,0.0,0.0,0.0,0.0,65.48,0.0,67.32,0.0,0.0,0,79199,,,,,
6,6,6.0,6.0,6.0,15.06,0.0,0.0,0.0,0.0,66.0,0.0,69.53,0.0,0.0,0,32399,,,,,
7,7,7.0,7.0,7.0,15.52,0.0,0.0,0.0,0.0,66.09,0.0,73.63,0.0,0.0,0,183599,,,,,
8,8,8.0,8.0,8.0,15.48,0.0,0.0,0.0,0.0,65.7,0.0,73.62,0.0,0.0,0,179999,,,,,
9,9,9.0,9.0,9.0,14.95,0.0,0.0,0.0,0.0,65.62,0.0,68.94,0.0,0.0,0,111599,,,,,
10,10,10.0,10.0,10.0,15.47,0.0,0.0,0.0,0.0,65.21,0.0,74.02,0.0,0.0,0,14399,,,,,
11,11,11.0,11.0,11.0,15.36,0.0,0.0,0.0,0.0,65.77,0.0,72.5,0.0,0.0,0,172799,,,,,
12,12,12.0,12.0,12.0,14.75,0.0,0.0,0.0,0.0,64.49,0.0,68.3,0.0,0.0,0,61199,,,,,
13,13,13.0,13.0,13.0,15.25,0.0,0.0,0.0,0.0,65.98,0.0,71.29,0.0,0.0,0,151199,,,,,
14,14,14.0,14.0,14.0,14.96,0.0,0.0,0.0,0.0,65.46,0.0,69.18,0.0,0.0,0,122399,,,,,
15,15,15.0,15.0,15.0,14.93,0.0,0.0,0.0,0.0,65.92,0.0,68.48,0.0,0.0,0,39599,,,,,
16,16,16.0,16.0,16.0,15.22,0.0,0.0,0.0,0.0,66.23,0.0,70.79,0.0,0.0,0,21599,,,,,
17,17,17.0,17.0,17.0,14.85,0.0,0.0,0.0,0.0,65.46,0.0,68.18,0.0,0.0,0,43199,,,,,
18,18,18.0,18.0,18.0,14.94,0.0,0.0,0.0,0.0,65.11,0.0,69.33,0.0,0.0,0,115199,,,,,
19,19,19.0,19.0,19.0,14.62,0.0,0.0,0.0,0.0,65.28,0.0,66.32,0.0,0.0,0,64799,,,,,
20,20,20.0,20.0,20.0,14.75,0.0,0.0,0.0,0.0,65.11,0.0,67.65,0.0,0.0,0,50399,,,,,
21,21,21.0,21.0,21.0,15.11,0.0,0.0,0.0,0.0,65.0,0.0,70.99,0.0,0.0,0,154799,,,,,
22,22,22.0,22.0,22.0,14.84,0.0,0.0,0.0,0.0,65.84,0.0,67.68,0.0,0.0,0,107999,,,,,
23,23,23.0,23.0,23.0,14.82,0.0,0.0,0.0,0.0,65.42,0.0,67.99,0.0,0.0,0,28799,,,,,
24,24,24.0,24.0,24.0,15.09,0.0,0.0,0.0,0.0,65.32,0.0,70.49,0.0,0.0,0,125999,,,,,
25,25,25.0,25.0,25.0,14.67,0.0,0.0,0.0,0.0,65.34,0.0,66.7,0.0,0.0,0,104399,,,,,
26,26,26.0,26.0,26.0,15.51,0.0,0.0,0.0,0.0,66.15,0.0,73.48,0.0,0.0,0,187199,,,,,
27,27,27.0,27.0,27.0,14.86,0.0,0.0,0.0,0.0,65.55,0.0,68.2,0.0,0.0,0,82799,,,,,
28,28,28.0,28.0,28.0,15.51,0.0,0.0,0.0,0.0,65.81,0.0,73.77,0.0,0.0,0,10799,,,,,
29,29,29.0,29.0,29.0,15.51,0.0,0.0,0.0,0.0,66.54,0.0,73.03,0.0,0.0,0,190799,,,,,
30,30,30.0,30.0,30.0,14.68,0.0,0.0,0.0,0.0,65.91,0.0,66.24,0.0,0.0,0,75599,,,,,
31,31,31.0,31.0,31.0,15.16,0.0,0.0,0.0,0.0,65.44,0.0,71.0,0.0,0.0,0,17999,,,,,
32,32,32.0,32.0,32.0,15.03,0.0,0.0,0.0,0.0,65.57,0.0,69.66,0.0,0.0,0,133199,,,,,
33,33,33.0,33.0,33.0,14.93,0.0,0.0,0.0,0.0,64.86,0.0,69.5,0.0,0.0,0,136799,,,,,
34,34,34.0,34.0,34.0,15.37,0.0,0.0,0.0,0.0,64.85,0.0,73.5,0.0,0.0,0,3599,,,,,
35,35,35.0,35.0,35.0,15.43,0.0,0.0,0.0,0.0,66.47,0.0,72.44,0.0,0.0,0,158399,,,,,
36,36,36.0,36.0,36.0,14.93,0.0,0.0,0.0,0.0,65.74,0.0,68.66,0.0,0.0,0,35999,,,,,
37,37,37.0,37.0,37.0,14.61,0.0,0.0,0.0,0.0,64.99,0.0,66.49,0.0,0.0,0,97199,,,,,
38,38,38.0,38.0,38.0,14.68,0.0,0.0,0.0,0.0,66.14,0.0,65.97,0.0,0.0,0,53999,,,,,
39,39,39.0,39.0,39.0,14.77,0.0,0.0,0.0,0.0,64.46,0.0,68.51,0.0,0.0,0,118799,,,,,
40,40,40.0,40.0,40.0,15.24,0.0,0.0,0.0,0.0,65.67,0.0,71.53,0.0,0.0,0,147599,,,,,
41,41,41.0,41.0,41.0,14.87,0.0,0.0,0.0,0.0,66.2,0.0,67.64,0.0,0.0,0,25199,,,,,
42,42,42.0,42.0,42.0,15.24,0.0,0.0,0.0,0.0,64.75,0.0,72.43,0.0,0.0,0,161999,,,,,
43,43,43.0,43.0,43.0,14.77,0.0,0.0,0.0,0.0,65.92,0.0,66.99,0.0,0.0,0,71999,,,,,
44,44,44.0,44.0,44.0,14.66,0.0,0.0,0.0,0.0,65.1,0.0,66.88,0.0,0.0,0,86399,,,,,
45,45,45.0,45.0,45.0,14.83,0.0,0.0,0.0,0.0,64.75,0.0,68.74,0.0,0.0,0,129599,,,,,
46,46,46.0,46.0,46.0,15.32,0.0,0.0,0.0,0.0,65.02,0.0,72.87,0.0,0.0,0,176399,,,,,
47,47,47.0,47.0,47.0,15.26,0.0,0.0,0.0,0.0,65.9,0.0,71.48,0.0,0.0,0,140399,,,,,
48,48,48.0,48.0,48.0,14.65,0.0,0.0,0.0,0.0,65.53,0.0,66.28,0.0,0.0,0,46799,,,,,
49,49,49.0,49.0,49.0,15.34,0.0,0.0,0.0,0.0,65.1,0.0,72.94,0.0,0.0,0,165599,,,,,
50,50,50.0,50.0,50.0,15.45,0.0,0.0,0.0,0.0,65.42,0.0,73.65,0.0,0.0,0,7199,,,,,
51,51,51.0,51.0,51.0,15.37,0.0,0.0,0.0,0.0,65.57,0.0,72.79,0.0,0.0,0,169199,,,,,
52,52,52.0,52.0,52.0,14.66,0.0,0.0,0.0,0.0,66.11,0.0,65.87,0.0,0.0,0,57599,,,,,
53,53,53.0,53.0,,15.59,0.0,0.0,0.0,0.0,65.63,0.0,74.64,0.0,0.0,1,320399,,,,,
54,54,54.0,54.0,,15.53,0.0,0.0,0.0,0.0,65.61,0.0,74.14,0.0,0.0,1,331199,,,,,
55,55,55.0,55.0,,15.53,0.0,0.0,0.0,0.0,65.79,0.0,73.97,0.0,0.0,1,295199,,,,,
56,56,56.0,56.0,,15.48,0.0,0.0,0.0,0.0,65.27,0.0,74.09,0.0,0.0,1,251999,,,,,
57,57,57.0,57.0,,15.5,0.0,0.0,0.0,0.0,65.13,0.0,74.38,0.0,0.0,1,262799,,,,,
58,58,58.0,58.0,,15.56,0.0,0.0,0.0,0.0,65.97,0.0,74.07,0.0,0.0,0,237599,,,,,
59,59,59.0,59.0,,15.54,0.0,0.0,0.0,0.0,65.62,0.0,74.23,0.0,0.0,0,205199,,,,,
60,60,60.0,60.0,,15.57,0.0,0.0,0.0,0.0,65.89,0.0,74.27,0.0,0.0,1,334799,,,,,
61,61,61.0,61.0,,15.64,0.0,0.0,0.0,0.0,66.29,0.0,74.48,0.0,0.0,1,363599,,,,,
62,62,62.0,62.0,,15.51,0.0,0.0,0.0,0.0,65.69,0.0,73.86,0.0,0.0,1,277199,,,,,
63,63,63.0,63.0,,15.56,0.0,0.0,0.0,0.0,65.78,0.0,74.24,0.0,0.0,0,233999,,,,,
64,64,64.0,64.0,,15.59,0.0,0.0,0.0,0.0,66.12,0.0,74.15,0.0,0.0,0,223199,,,,,
65,65,65.0,65.0,,15.57,0.0,0.0,0.0,0.0,65.74,0.0,74.43,0.0,0.0,1,309599,,,,,
66,66,66.0,66.0,,15.59,0.0,0.0,0.0,0.0,66.64,0.0,73.67,0.0,0.0,0,212399,,,,,
67,67,67.0,67.0,,15.58,0.0,0.0,0.0,0.0,66.1,0.0,74.11,0.0,0.0,1,287999,,,,,
68,68,68.0,68.0,,15.57,0.0,0.0,0.0,0.0,65.73,0.0,74.41,0.0,0.0,1,356399,,,,,
69,69,69.0,69.0,,15.57,0.0,0.0,0.0,0.0,65.74,0.0,74.41,0.0,0.0,1,352799,,,,,
70,70,70.0,70.0,,15.59,0.0,0.0,0.0,0.0,65.84,0.0,74.51,0.0,0.0,1,313199,,,,,
71,71,71.0,71.0,,15.59,0.0,0.0,0.0,0.0,66.39,0.0,73.94,0.0,0.0,0,226799,,,,,
72,72,72.0,72.0,,15.66,0.0,0.0,0.0,0.0,66.81,0.0,74.12,0.0,0.0,1,266399,,,,,
73,73,73.0,73.0,,15.5,0.0,0.0,0.0,0.0,65.42,0.0,74.07,0.0,0.0,1,284399,,,,,
74,74,74.0,74.0,,15.63,0.0,0.0,0.0,0.0,65.99,0.0,74.65,0.0,0.0,1,345599,,,,,
75,75,75.0,75.0,,15.52,0.0,0.0,0.0,0.0,65.52,0.0,74.12,0.0,0.0,0,241199,,,,,
76,76,76.0,76.0,,15.61,0.0,0.0,0.0,0.0,66.23,0.0,74.27,0.0,0.0,1,255599,,,,,
77,77,77.0,77.0,,15.5,0.0,0.0,0.0,0.0,65.48,0.0,74.04,0.0,0.0,0,215999,,,,,
78,78,78.0,78.0,,15.53,0.0,0.0,0.0,0.0,65.32,0.0,74.45,0.0,0.0,1,341999,,,,,
79,79,79.0,79.0,,15.56,0.0,0.0,0.0,0.0,65.77,0.0,74.23,0.0,0.0,1,305999,,,,,
80,80,80.0,80.0,,15.53,0.0,0.0,0.0,0.0,65.78,0.0,74.03,0.0,0.0,1,273599,,,,,
81,81,81.0,81.0,,15.64,0.0,0.0,0.0,0.0,66.31,0.0,74.41,0.0,0.0,1,269999,,,,,
82,82,82.0,82.0,,15.61,0.0,0.0,0.0,0.0,66.06,0.0,74.45,0.0,0.0,1,338399,,,,,
83,83,83.0,83.0,,15.58,0.0,0.0,0.0,0.0,66.02,0.0,74.23,0.0,0.0,0,230399,,,,,
84,84,84.0,84.0,,15.45,0.0,0.0,0.0,0.0,65.05,0.0,73.99,0.0,0.0,0,248399,,,,,
85,85,85.0,85.0,,15.51,0.0,0.0,0.0,0.0,65.68,0.0,73.93,0.0,0.0,0,194399,,,,,
86,86,86.0,86.0,,15.62,0.0,0.0,0.0,0.0,66.0,0.0,74.56,0.0,0.0,1,359999,,,,,
87,87,87.0,87.0,,15.59,0.0,0.0,0.0,0.0,66.08,0.0,74.26,0.0,0.0,1,302399,,,,,
88,88,88.0,88.0,,15.48,0.0,0.0,0.0,0.0,65.51,0.0,73.8,0.0,0.0,0,197999,,,,,
89,89,89.0,89.0,,15.53,0.0,0.0,0.0,0.0,65.58,0.0,74.18,0.0,0.0,1,298799,,,,,
90,90,90.0,90.0,,15.53,0.0,0.0,0.0,0.0,65.81,0.0,73.99,0.0,0.0,1,316799,,,,,
91,91,91.0,91.0,,15.61,0.0,0.0,0.0,0.0,66.2,0.0,74.29,0.0,0.0,1,349199,,,,,
92,92,92.0,92.0,,15.55,0.0,0.0,0.0,0.0,66.03,0.0,73.92,0.0,0.0,1,259199,,,,,
93,93,93.0,93.0,,15.59,0.0,0.0,0.0,0.0,65.97,0.0,74.32,0.0,0.0,1,291599,,,,,
94,94,94.0,94.0,,15.56,0.0,0.0,0.0,0.0,65.89,0.0,74.18,0.0,0.0,0,244799,,,,,
95,95,95.0,95.0,,15.55,0.0,0.0,0.0,0.0,65.62,0.0,74.34,0.0,0.0,1,323999,,,,,
96,96,96.0,96.0,,15.63,0.0,0.0,0.0,0.0,66.36,0.0,74.31,0.0,0.0,1,327599,,,,,
97,97,97.0,97.0,,15.52,0.0,0.0,0.0,0.0,65.52,0.0,74.18,0.0,0.0,0,208799,,,,,
98,98,98.0,98.0,,15.53,0.0,0.0,0.0,0.0,65.66,0.0,74.07,0.0,0.0,0,201599,,,,,
99,99,99.0,99.0,,15.52,0.0,0.0,0.0,0.0,65.53,0.0,74.16,0.0,0.0,1,280799,,,,,
100,100,100.0,100.0,,15.5,0.0,0.0,0.0,0.0,65.39,0.0,74.07,0.0,0.0,0,219599,,,,,
101,101,101.0,,,15.54,0.0,0.0,0.0,0.0,65.49,0.0,74.36,0.0,0.0,1,403199,,,,,
102,102,102.0,,,15.6,0.0,0.0,0.0,0.0,66.35,0.0,74.08,0.0,0.0,1,406799,,,,,
103,103,103.0,,,15.65,0.0,0.0,0.0,0.0,66.46,0.0,74.38,0.0,0.0,2,547199,,,,,
104,104,104.0,,,15.59,0.0,0.0,0.0,0.0,66.06,0.0,74.28,0.0,0.0,1,410399,,,,,
105,105,105.0,,,15.59,0.0,0.0,0.0,0.0,65.78,0.0,74.49,0.0,0.0,1,493199,,,,,
106,106,106.0,,,15.7,0.0,0.0,0.0,0.0,66.64,0.0,74.65,0.0,0.0,2,507599,,,,,
107,107,107.0,,,15.69,0.0,0.0,0.0,0.0,66.91,0.0,74.34,0.0,0.0,1,489599,,,,,
108,108,108.0,,,15.59,0.0,0.0,0.0,0.0,65.67,0.0,74.68,0.0,0.0,1,367199,,,,,
109,109,109.0,,,15.64,0.0,0.0,0.0,0.0,66.16,0.0,74.59,0.0,0.0,2,514799,,,,,
110,110,110.0,,,15.61,0.0,0.0,0.0,0.0,66.19,0.0,74.32,0.0,0.0,1,392399,,,,,
111,111,111.0,,,15.65,0.0,0.0,0.0,0.0,66.35,0.0,74.5,0.0,0.0,1,496799,,,,,
112,112,112.0,,,15.6,0.0,0.0,0.0,0.0,65.91,0.0,74.45,0.0,0.0,1,464399,,,,,
113,113,113.0,,,15.76,0.0,0.0,0.0,0.0,67.23,0.0,74.57,0.0,0.0,2,529199,,,,,
114,114,114.0,,,15.59,0.0,0.0,0.0,0.0,65.71,0.0,74.56,0.0,0.0,1,435599,,,,,
115,115,115.0,,,15.63,0.0,0.0,0.0,0.0,66.13,0.0,74.55,0.0,0.0,1,471599,,,,,
116,116,116.0,,,15.64,0.0,0.0,0.0,0.0,66.28,0.0,74.49,0.0,0.0,2,532799,,,,,
117,117,117.0,,,15.62,0.0,0.0,0.0,0.0,65.84,0.0,74.7,0.0,0.0,1,478799,,,,,
118,118,118.0,,,15.67,0.0,0.0,0.0,0.0,66.25,0.0,74.75,0.0,0.0,2,539999,,,,,
