,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,11.33,0.00,0.00,0.00,0.00,61.46,0.00,40.55,0.00,0.00,0,89999
1,9.74,0.00,0.00,0.00,0.00,54.52,0.00,33.15,0.00,0.00,0,143999
2,11.46,0.00,0.00,0.00,0.00,61.16,0.00,41.98,0.00,0.00,0,93599
3,12.24,0.00,0.00,0.00,0.00,62.23,0.00,47.95,0.00,0.00,0,68399
4,10.88,0.00,0.00,0.00,0.00,62.05,0.00,35.83,0.00,0.00,0,100799
5,11.60,0.00,0.00,0.00,0.00,62.57,0.00,41.87,0.00,0.00,0,79199
6,14.86,0.00,0.00,0.00,0.00,63.03,0.00,70.72,0.00,0.00,0,32399
7,11.08,0.00,0.00,0.00,0.00,60.05,0.00,39.67,0.00,0.00,0,111599
8,15.06,0.00,0.00,0.00,0.00,64.14,0.00,71.36,0.00,0.00,0,14399
9,12.70,0.00,0.00,0.00,0.00,63.05,0.00,51.25,0.00,0.00,0,61199
10,9.03,0.00,0.00,0.00,0.00,43.17,0.00,38.13,0.00,0.00,0,151199
11,10.67,0.00,0.00,0.00,0.00,56.91,0.00,39.13,0.00,0.00,0,122399
12,14.74,0.00,0.00,0.00,0.00,62.52,0.00,70.10,0.00,0.00,0,39599
13,15.06,0.00,0.00,0.00,0.00,64.53,0.00,71.04,0.00,0.00,0,21599
14,14.82,0.00,0.00,0.00,0.00,64.32,0.00,69.09,0.00,0.00,0,43199
15,10.33,0.00,0.00,0.00,0.00,57.25,0.00,35.70,0.00,0.00,0,115199
16,12.37,0.00,0.00,0.00,0.00,63.36,0.00,47.99,0.00,0.00,0,64799
17,14.39,0.00,0.00,0.00,0.00,62.72,0.00,66.79,0.00,0.00,0,50399
18,7.84,0.00,0.00,0.00,0.00,31.48,0.00,39.11,0.00,0.00,0,154799
19,10.52,0.00,0.00,0.00,0.00,60.71,0.00,33.95,0.00,0.00,0,107999
20,15.00,0.00,0.00,0.00,0.00,64.06,0.00,70.90,0.00,0.00,0,28799
21,10.23,0.00,0.00,0.00,0.00,56.09,0.00,35.95,0.00,0.00,0,125999
22,11.19,0.00,0.00,0.00,0.00,61.72,0.00,39.01,0.00,0.00,0,104399
23,11.94,0.00,0.00,0.00,0.00,62.46,0.00,44.97,0.00,0.00,0,82799
24,15.14,0.00,0.00,0.00,0.00,64.80,0.00,71.49,0.00,0.00,0,10799
25,11.70,0.00,0.00,0.00,0.00,63.45,0.00,41.82,0.00,0.00,0,75599
26,15.14,0.00,0.00,0.00,0.00,65.04,0.00,71.19,0.00,0.00,0,17999
27,10.22,0.00,0.00,0.00,0.00,52.86,0.00,39.15,0.00,0.00,0,133199
28,9.44,0.00,0.00,0.00,0.00,51.59,0.00,33.38,0.00,0.00,0,136799
29,15.04,0.00,0.00,0.00,0.00,64.45,0.00,70.87,0.00,0.00,0,3599
30,6.67,0.00,0.00,0.00,0.00,29.75,0.00,30.28,0.00,0.00,0,158399
31,14.85,0.00,0.00,0.00,0.00,63.15,0.00,70.54,0.00,0.00,0,35999
32,11.33,0.00,0.00,0.00,0.00,61.17,0.00,40.81,0.00,0.00,0,97199
33,12.95,0.00,0.00,0.00,0.00,63.83,0.00,52.68,0.00,0.00,0,53999
34,10.64,0.00,0.00,0.00,0.00,60.04,0.00,35.74,0.00,0.00,0,118799
35,8.59,0.00,0.00,0.00,0.00,44.50,0.00,32.79,0.00,0.00,0,147599
36,14.93,0.00,0.00,0.00,0.00,63.52,0.00,70.85,0.00,0.00,0,25199
37,6.78,0.00,0.00,0.00,0.00,26.36,0.00,34.64,0.00,0.00,0,161999
38,12.46,0.00,0.00,0.00,0.00,63.34,0.00,48.79,0.00,0.00,0,71999
39,11.62,0.00,0.00,0.00,0.00,61.23,0.00,43.32,0.00,0.00,0,86399
40,9.95,0.00,0.00,0.00,0.00,51.59,0.00,37.97,0.00,0.00,0,129599
41,9.85,0.00,0.00,0.00,0.00,57.67,0.00,30.96,0.00,0.00,0,140399
42,14.63,0.00,0.00,0.00,0.00,63.60,0.00,68.10,0.00,0.00,0,46799
43,7.76,0.00,0.00,0.00,0.00,30.37,0.00,39.50,0.00,0.00,0,165599
44,15.11,0.00,0.00,0.00,0.00,65.03,0.00,70.98,0.00,0.00,0,7199
45,7.51,0.00,0.00,0.00,0.00,31.92,0.00,35.70,0.00,0.00,0,169199
46,12.58,0.00,0.00,0.00,0.00,62.75,0.00,50.50,0.00,0.00,0,57599
