,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step,STS12,STS13,STS14,STS15,STS16
0,0.0,0.0,0.0,0.0,15.56,0.0,0.0,0.0,0.0,66.02,0.0,74.06,0.0,0.0,0,3999,,,,,
1,1.0,1.0,1.0,1.0,15.73,0.0,0.0,0.0,0.0,66.29,0.0,75.25,0.0,0.0,0,11999,,,,,
2,2.0,2.0,2.0,2.0,15.84,0.0,0.0,0.0,0.0,67.07,0.0,75.46,0.0,0.0,0,15999,,,,,
3,3.0,3.0,3.0,3.0,15.91,0.0,0.0,0.0,0.0,67.32,0.0,75.84,0.0,0.0,0,31999,,,,,
4,4.0,4.0,4.0,4.0,15.9,0.0,0.0,0.0,0.0,67.49,0.0,75.6,0.0,0.0,0,19999,,,,,
5,5.0,5.0,5.0,5.0,15.93,0.0,0.0,0.0,0.0,67.39,0.0,75.95,0.0,0.0,0,35999,,,,,
6,6.0,6.0,6.0,6.0,15.74,0.0,0.0,0.0,0.0,66.8,0.0,74.84,0.0,0.0,0,7999,,,,,
7,7.0,7.0,7.0,7.0,15.91,0.0,0.0,0.0,0.0,67.28,0.0,75.92,0.0,0.0,0,27999,,,,,
8,8.0,8.0,8.0,8.0,15.88,0.0,0.0,0.0,0.0,67.17,0.0,75.78,0.0,0.0,0,23999,,,,,
9,9.0,9.0,9.0,,15.92,0.0,0.0,0.0,0.0,67.27,0.0,76.03,0.0,0.0,0,91999,,,,,
10,10.0,10.0,10.0,,15.95,0.0,0.0,0.0,0.0,67.5,0.0,76.07,0.0,0.0,0,67999,,,,,
11,11.0,11.0,11.0,,15.92,0.0,0.0,0.0,0.0,67.29,0.0,76.0,0.0,0.0,0,47999,,,,,
12,12.0,12.0,12.0,,16.01,0.0,0.0,0.0,0.0,68.02,0.0,76.11,0.0,0.0,0,87999,,,,,
13,13.0,13.0,13.0,,15.96,0.0,0.0,0.0,0.0,67.27,0.0,76.34,0.0,0.0,0,95999,,,,,
14,14.0,14.0,14.0,,15.97,0.0,0.0,0.0,0.0,67.5,0.0,76.22,0.0,0.0,0,111999,,,,,
