,Unnamed: 0,Unnamed: 0.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,0.0,9.88,0.0,0.0,0.0,0.0,64.81,0.0,0.0,0.0,0.0,0.0,0.0,73.52,0.0,0.0,0,3999
1,1.0,1.0,10.11,0.0,0.0,0.0,0.0,66.56,0.0,0.0,0.0,0.0,0.0,0.0,74.93,0.0,0.0,0,115999
2,2.0,2.0,10.16,0.0,0.0,0.0,0.0,66.77,0.0,0.0,0.0,0.0,0.0,0.0,75.43,0.0,0.0,0,127999
3,3.0,3.0,10.17,0.0,0.0,0.0,0.0,66.9,0.0,0.0,0.0,0.0,0.0,0.0,75.42,0.0,0.0,0,91999
4,4.0,4.0,10.14,0.0,0.0,0.0,0.0,66.63,0.0,0.0,0.0,0.0,0.0,0.0,75.28,0.0,0.0,0,67999
5,5.0,5.0,10.12,0.0,0.0,0.0,0.0,66.58,0.0,0.0,0.0,0.0,0.0,0.0,75.16,0.0,0.0,0,47999
6,6.0,6.0,10.16,0.0,0.0,0.0,0.0,66.81,0.0,0.0,0.0,0.0,0.0,0.0,75.39,0.0,0.0,0,87999
7,7.0,7.0,10.14,0.0,0.0,0.0,0.0,66.63,0.0,0.0,0.0,0.0,0.0,0.0,75.3,0.0,0.0,0,95999
8,8.0,8.0,10.14,0.0,0.0,0.0,0.0,66.63,0.0,0.0,0.0,0.0,0.0,0.0,75.27,0.0,0.0,0,111999
9,9.0,9.0,10.17,0.0,0.0,0.0,0.0,67.13,0.0,0.0,0.0,0.0,0.0,0.0,75.32,0.0,0.0,0,99999
10,10.0,10.0,10.17,0.0,0.0,0.0,0.0,66.83,0.0,0.0,0.0,0.0,0.0,0.0,75.49,0.0,0.0,0,59999
11,11.0,11.0,10.13,0.0,0.0,0.0,0.0,66.37,0.0,0.0,0.0,0.0,0.0,0.0,75.49,0.0,0.0,0,131999
12,12.0,12.0,9.94,0.0,0.0,0.0,0.0,65.08,0.0,0.0,0.0,0.0,0.0,0.0,74.03,0.0,0.0,0,11999
13,13.0,13.0,10.13,0.0,0.0,0.0,0.0,66.28,0.0,0.0,0.0,0.0,0.0,0.0,75.49,0.0,0.0,0,107999
14,14.0,14.0,10.13,0.0,0.0,0.0,0.0,66.66,0.0,0.0,0.0,0.0,0.0,0.0,75.23,0.0,0.0,0,39999
15,15.0,15.0,10.14,0.0,0.0,0.0,0.0,66.44,0.0,0.0,0.0,0.0,0.0,0.0,75.46,0.0,0.0,0,123999
16,16.0,16.0,10.0,0.0,0.0,0.0,0.0,65.85,0.0,0.0,0.0,0.0,0.0,0.0,74.11,0.0,0.0,0,15999
17,17.0,17.0,10.14,0.0,0.0,0.0,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,75.34,0.0,0.0,0,51999
18,18.0,18.0,10.09,0.0,0.0,0.0,0.0,66.13,0.0,0.0,0.0,0.0,0.0,0.0,75.14,0.0,0.0,0,43999
19,19.0,19.0,10.16,0.0,0.0,0.0,0.0,66.69,0.0,0.0,0.0,0.0,0.0,0.0,75.52,0.0,0.0,0,103999
20,20.0,20.0,10.12,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,75.05,0.0,0.0,0,31999
21,21.0,21.0,10.08,0.0,0.0,0.0,0.0,66.57,0.0,0.0,0.0,0.0,0.0,0.0,74.59,0.0,0.0,0,19999
22,22.0,22.0,10.13,0.0,0.0,0.0,0.0,66.51,0.0,0.0,0.0,0.0,0.0,0.0,75.33,0.0,0.0,0,55999
23,23.0,23.0,10.14,0.0,0.0,0.0,0.0,66.64,0.0,0.0,0.0,0.0,0.0,0.0,75.26,0.0,0.0,0,79999
24,24.0,24.0,10.14,0.0,0.0,0.0,0.0,66.91,0.0,0.0,0.0,0.0,0.0,0.0,75.12,0.0,0.0,0,35999
25,25.0,25.0,9.93,0.0,0.0,0.0,0.0,65.36,0.0,0.0,0.0,0.0,0.0,0.0,73.67,0.0,0.0,0,7999
26,26.0,26.0,10.14,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,75.27,0.0,0.0,0,83999
27,27.0,27.0,10.13,0.0,0.0,0.0,0.0,66.88,0.0,0.0,0.0,0.0,0.0,0.0,74.98,0.0,0.0,0,27999
28,28.0,28.0,10.15,0.0,0.0,0.0,0.0,66.65,0.0,0.0,0.0,0.0,0.0,0.0,75.4,0.0,0.0,0,71999
29,29.0,29.0,10.13,0.0,0.0,0.0,0.0,66.66,0.0,0.0,0.0,0.0,0.0,0.0,75.11,0.0,0.0,0,63999
30,30.0,30.0,10.02,0.0,0.0,0.0,0.0,65.73,0.0,0.0,0.0,0.0,0.0,0.0,74.52,0.0,0.0,0,23999
31,31.0,31.0,10.14,0.0,0.0,0.0,0.0,66.61,0.0,0.0,0.0,0.0,0.0,0.0,75.3,0.0,0.0,0,119999
32,32.0,32.0,10.16,0.0,0.0,0.0,0.0,66.85,0.0,0.0,0.0,0.0,0.0,0.0,75.34,0.0,0.0,0,75999
33,33.0,,10.09,0.0,0.0,0.0,0.0,66.15,0.0,0.0,0.0,0.0,0.0,0.0,75.13,0.0,0.0,0,223999
34,34.0,,10.08,0.0,0.0,0.0,0.0,66.01,0.0,0.0,0.0,0.0,0.0,0.0,75.07,0.0,0.0,0,207999
35,35.0,,10.14,0.0,0.0,0.0,0.0,66.62,0.0,0.0,0.0,0.0,0.0,0.0,75.38,0.0,0.0,0,151999
36,36.0,,10.11,0.0,0.0,0.0,0.0,66.22,0.0,0.0,0.0,0.0,0.0,0.0,75.33,0.0,0.0,0,143999
37,37.0,,10.08,0.0,0.0,0.0,0.0,66.08,0.0,0.0,0.0,0.0,0.0,0.0,74.98,0.0,0.0,0,231999
38,38.0,,10.11,0.0,0.0,0.0,0.0,66.24,0.0,0.0,0.0,0.0,0.0,0.0,75.25,0.0,0.0,0,179999
39,39.0,,10.16,0.0,0.0,0.0,0.0,66.89,0.0,0.0,0.0,0.0,0.0,0.0,75.33,0.0,0.0,0,139999
40,40.0,,10.09,0.0,0.0,0.0,0.0,66.35,0.0,0.0,0.0,0.0,0.0,0.0,74.98,0.0,0.0,0,191999
41,41.0,,10.06,0.0,0.0,0.0,0.0,65.85,0.0,0.0,0.0,0.0,0.0,0.0,75.03,0.0,0.0,0,235999
42,42.0,,10.11,0.0,0.0,0.0,0.0,66.18,0.0,0.0,0.0,0.0,0.0,0.0,75.34,0.0,0.0,0,171999
43,43.0,,10.08,0.0,0.0,0.0,0.0,65.97,0.0,0.0,0.0,0.0,0.0,0.0,75.1,0.0,0.0,0,239999
44,44.0,,10.09,0.0,0.0,0.0,0.0,66.25,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0,203999
45,45.0,,10.1,0.0,0.0,0.0,0.0,66.12,0.0,0.0,0.0,0.0,0.0,0.0,75.25,0.0,0.0,0,183999
46,46.0,,10.11,0.0,0.0,0.0,0.0,66.14,0.0,0.0,0.0,0.0,0.0,0.0,75.34,0.0,0.0,0,215999
47,47.0,,10.13,0.0,0.0,0.0,0.0,66.58,0.0,0.0,0.0,0.0,0.0,0.0,75.28,0.0,0.0,0,147999
48,48.0,,10.1,0.0,0.0,0.0,0.0,66.2,0.0,0.0,0.0,0.0,0.0,0.0,75.25,0.0,0.0,0,159999
49,49.0,,10.1,0.0,0.0,0.0,0.0,66.29,0.0,0.0,0.0,0.0,0.0,0.0,75.13,0.0,0.0,0,187999
50,50.0,,10.13,0.0,0.0,0.0,0.0,66.45,0.0,0.0,0.0,0.0,0.0,0.0,75.36,0.0,0.0,0,199999
51,51.0,,10.11,0.0,0.0,0.0,0.0,66.29,0.0,0.0,0.0,0.0,0.0,0.0,75.26,0.0,0.0,0,175999
52,52.0,,10.12,0.0,0.0,0.0,0.0,66.63,0.0,0.0,0.0,0.0,0.0,0.0,75.09,0.0,0.0,0,195999
53,53.0,,10.12,0.0,0.0,0.0,0.0,66.38,0.0,0.0,0.0,0.0,0.0,0.0,75.37,0.0,0.0,0,167999
54,54.0,,10.12,0.0,0.0,0.0,0.0,66.49,0.0,0.0,0.0,0.0,0.0,0.0,75.14,0.0,0.0,0,155999
55,55.0,,10.12,0.0,0.0,0.0,0.0,66.56,0.0,0.0,0.0,0.0,0.0,0.0,75.14,0.0,0.0,0,211999
56,56.0,,10.14,0.0,0.0,0.0,0.0,66.75,0.0,0.0,0.0,0.0,0.0,0.0,75.23,0.0,0.0,0,219999
57,57.0,,10.11,0.0,0.0,0.0,0.0,66.48,0.0,0.0,0.0,0.0,0.0,0.0,75.02,0.0,0.0,0,227999
58,58.0,,10.11,0.0,0.0,0.0,0.0,66.26,0.0,0.0,0.0,0.0,0.0,0.0,75.21,0.0,0.0,0,163999
59,59.0,,10.16,0.0,0.0,0.0,0.0,66.86,0.0,0.0,0.0,0.0,0.0,0.0,75.4,0.0,0.0,0,135999
60,,,10.04,0.00,0.00,0.00,0.00,66.02,0.00,0.00,0.00,0.00,0.00,0.00,74.57,0.00,0.00,0,335999
61,,,10.06,0.00,0.00,0.00,0.00,66.02,0.00,0.00,0.00,0.00,0.00,0.00,74.88,0.00,0.00,0,295999
62,,,10.09,0.00,0.00,0.00,0.00,66.24,0.00,0.00,0.00,0.00,0.00,0.00,75.03,0.00,0.00,0,271999
