,Unnamed: 0,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,10.0,0.0,0.0,0.0,0.0,66.24,0.0,0.0,0.0,0.0,0.0,0.0,73.77,0.0,0.0,0,3999
1,1.0,10.1,0.0,0.0,0.0,0.0,66.68,0.0,0.0,0.0,0.0,0.0,0.0,74.78,0.0,0.0,0,11999
2,2.0,10.1,0.0,0.0,0.0,0.0,66.41,0.0,0.0,0.0,0.0,0.0,0.0,74.94,0.0,0.0,0,15999
3,3.0,10.12,0.0,0.0,0.0,0.0,66.51,0.0,0.0,0.0,0.0,0.0,0.0,75.11,0.0,0.0,0,19999
4,4.0,10.06,0.0,0.0,0.0,0.0,66.41,0.0,0.0,0.0,0.0,0.0,0.0,74.46,0.0,0.0,0,7999
5,,10.08,0.00,0.00,0.00,0.00,66.05,0.00,0.00,0.00,0.00,0.00,0.00,75.09,0.00,0.00,0,47999
6,,10.05,0.00,0.00,0.00,0.00,65.51,0.00,0.00,0.00,0.00,0.00,0.00,75.20,0.00,0.00,0,59999
7,,10.11,0.00,0.00,0.00,0.00,66.56,0.00,0.00,0.00,0.00,0.00,0.00,74.94,0.00,0.00,0,39999
8,,10.06,0.00,0.00,0.00,0.00,65.78,0.00,0.00,0.00,0.00,0.00,0.00,75.07,0.00,0.00,0,51999
9,,10.07,0.00,0.00,0.00,0.00,65.97,0.00,0.00,0.00,0.00,0.00,0.00,75.01,0.00,0.00,0,43999
10,,10.07,0.00,0.00,0.00,0.00,65.88,0.00,0.00,0.00,0.00,0.00,0.00,75.16,0.00,0.00,0,31999
11,,10.05,0.00,0.00,0.00,0.00,65.38,0.00,0.00,0.00,0.00,0.00,0.00,75.32,0.00,0.00,0,55999
12,,10.10,0.00,0.00,0.00,0.00,66.29,0.00,0.00,0.00,0.00,0.00,0.00,75.10,0.00,0.00,0,35999
13,,10.10,0.00,0.00,0.00,0.00,66.27,0.00,0.00,0.00,0.00,0.00,0.00,75.16,0.00,0.00,0,27999
14,,10.04,0.00,0.00,0.00,0.00,65.55,0.00,0.00,0.00,0.00,0.00,0.00,74.96,0.00,0.00,0,63999
15,,10.12,0.00,0.00,0.00,0.00,66.55,0.00,0.00,0.00,0.00,0.00,0.00,75.09,0.00,0.00,0,23999
