,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SUBJ,TREC,epoch,step
0,9.94,0.00,0.00,0.00,0.00,65.68,0.00,0.00,0.00,0.00,0.00,0.00,73.49,0.00,0.00,0,3999
1,8.55,0.00,0.00,0.00,0.00,56.56,0.00,0.00,0.00,0.00,0.00,0.00,63.17,0.00,0.00,0,91999
2,8.54,0.00,0.00,0.00,0.00,53.91,0.00,0.00,0.00,0.00,0.00,0.00,65.62,0.00,0.00,0,67999
3,8.92,0.00,0.00,0.00,0.00,56.95,0.00,0.00,0.00,0.00,0.00,0.00,67.87,0.00,0.00,0,47999
4,8.34,0.00,0.00,0.00,0.00,55.22,0.00,0.00,0.00,0.00,0.00,0.00,61.56,0.00,0.00,0,87999
5,8.25,0.00,0.00,0.00,0.00,54.72,0.00,0.00,0.00,0.00,0.00,0.00,60.80,0.00,0.00,0,95999
6,8.63,0.00,0.00,0.00,0.00,53.30,0.00,0.00,0.00,0.00,0.00,0.00,67.58,0.00,0.00,0,59999
7,9.81,0.00,0.00,0.00,0.00,64.60,0.00,0.00,0.00,0.00,0.00,0.00,72.81,0.00,0.00,0,11999
8,9.03,0.00,0.00,0.00,0.00,57.15,0.00,0.00,0.00,0.00,0.00,0.00,69.33,0.00,0.00,0,39999
9,9.74,0.00,0.00,0.00,0.00,64.14,0.00,0.00,0.00,0.00,0.00,0.00,72.19,0.00,0.00,0,15999
10,8.82,0.00,0.00,0.00,0.00,56.10,0.00,0.00,0.00,0.00,0.00,0.00,67.38,0.00,0.00,0,51999
11,8.88,0.00,0.00,0.00,0.00,55.90,0.00,0.00,0.00,0.00,0.00,0.00,68.37,0.00,0.00,0,43999
12,9.05,0.00,0.00,0.00,0.00,56.95,0.00,0.00,0.00,0.00,0.00,0.00,69.69,0.00,0.00,0,31999
13,9.38,0.00,0.00,0.00,0.00,60.63,0.00,0.00,0.00,0.00,0.00,0.00,70.74,0.00,0.00,0,19999
14,8.55,0.00,0.00,0.00,0.00,51.55,0.00,0.00,0.00,0.00,0.00,0.00,68.09,0.00,0.00,0,55999
15,8.07,0.00,0.00,0.00,0.00,49.64,0.00,0.00,0.00,0.00,0.00,0.00,63.28,0.00,0.00,0,79999
16,9.14,0.00,0.00,0.00,0.00,58.88,0.00,0.00,0.00,0.00,0.00,0.00,69.02,0.00,0.00,0,35999
17,9.92,0.00,0.00,0.00,0.00,65.54,0.00,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0,7999
18,8.40,0.00,0.00,0.00,0.00,53.83,0.00,0.00,0.00,0.00,0.00,0.00,63.74,0.00,0.00,0,83999
19,9.52,0.00,0.00,0.00,0.00,63.18,0.00,0.00,0.00,0.00,0.00,0.00,70.05,0.00,0.00,0,27999
20,8.65,0.00,0.00,0.00,0.00,56.15,0.00,0.00,0.00,0.00,0.00,0.00,64.94,0.00,0.00,0,71999
21,8.91,0.00,0.00,0.00,0.00,58.54,0.00,0.00,0.00,0.00,0.00,0.00,66.18,0.00,0.00,0,63999
22,9.37,0.00,0.00,0.00,0.00,60.33,0.00,0.00,0.00,0.00,0.00,0.00,70.86,0.00,0.00,0,23999
23,8.32,0.00,0.00,0.00,0.00,53.81,0.00,0.00,0.00,0.00,0.00,0.00,62.64,0.00,0.00,0,75999
