,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,5.23,0.00,0.00,0.00,0.00,28.88,0.00,18.17,0.00,0.00,0,58999
1,5.10,0.00,0.00,0.00,0.00,28.43,0.00,17.50,0.00,0.00,0,15499
2,4.96,0.00,0.00,0.00,0.00,27.29,0.00,17.35,0.00,0.00,0,18999
3,5.36,0.00,0.00,0.00,0.00,29.45,0.00,18.77,0.00,0.00,0,49999
4,4.03,0.00,0.00,0.00,0.00,19.51,0.00,16.72,0.00,0.00,0,3999
5,5.23,0.00,0.00,0.00,0.00,28.84,0.00,18.23,0.00,0.00,0,40499
6,4.74,0.00,0.00,0.00,0.00,25.29,0.00,17.40,0.00,0.00,0,9499
7,5.49,0.00,0.00,0.00,0.00,30.71,0.00,18.72,0.00,0.00,0,89999
8,5.10,0.00,0.00,0.00,0.00,28.08,0.00,17.81,0.00,0.00,0,25499
9,5.35,0.00,0.00,0.00,0.00,29.74,0.00,18.37,0.00,0.00,0,55499
10,4.08,0.00,0.00,0.00,0.00,18.59,0.00,18.16,0.00,0.00,0,2999
11,4.17,0.00,0.00,0.00,0.00,21.37,0.00,16.17,0.00,0.00,0,5499
12,5.23,0.00,0.00,0.00,0.00,28.69,0.00,18.41,0.00,0.00,0,48999
13,5.37,0.00,0.00,0.00,0.00,29.87,0.00,18.48,0.00,0.00,0,68499
14,5.31,0.00,0.00,0.00,0.00,29.50,0.00,18.27,0.00,0.00,0,66999
15,5.53,0.00,0.00,0.00,0.00,30.99,0.00,18.79,0.00,0.00,0,90499
16,5.23,0.00,0.00,0.00,0.00,28.86,0.00,18.25,0.00,0.00,0,45999
17,5.26,0.00,0.00,0.00,0.00,29.08,0.00,18.24,0.00,0.00,0,27499
18,5.12,0.00,0.00,0.00,0.00,28.26,0.00,17.83,0.00,0.00,0,30499
19,5.32,0.00,0.00,0.00,0.00,29.22,0.00,18.69,0.00,0.00,0,42999
20,5.34,0.00,0.00,0.00,0.00,29.83,0.00,18.24,0.00,0.00,0,74999
21,5.34,0.00,0.00,0.00,0.00,29.73,0.00,18.35,0.00,0.00,0,54999
22,5.43,0.00,0.00,0.00,0.00,30.33,0.00,18.54,0.00,0.00,0,90999
23,5.42,0.00,0.00,0.00,0.00,30.19,0.00,18.56,0.00,0.00,0,75499
24,5.43,0.00,0.00,0.00,0.00,30.14,0.00,18.76,0.00,0.00,0,84499
25,5.49,0.00,0.00,0.00,0.00,30.67,0.00,18.77,0.00,0.00,0,79499
26,5.34,0.00,0.00,0.00,0.00,29.79,0.00,18.25,0.00,0.00,0,67999
27,5.04,0.00,0.00,0.00,0.00,27.52,0.00,17.81,0.00,0.00,0,32999
28,5.34,0.00,0.00,0.00,0.00,29.69,0.00,18.41,0.00,0.00,0,51499
29,5.31,0.00,0.00,0.00,0.00,29.13,0.00,18.62,0.00,0.00,0,43499
30,5.40,0.00,0.00,0.00,0.00,30.06,0.00,18.58,0.00,0.00,0,88999
31,5.37,0.00,0.00,0.00,0.00,29.76,0.00,18.53,0.00,0.00,0,33999
32,5.05,0.00,0.00,0.00,0.00,27.69,0.00,17.74,0.00,0.00,0,23499
33,4.66,0.00,0.00,0.00,0.00,24.93,0.00,16.97,0.00,0.00,0,8999
34,5.29,0.00,0.00,0.00,0.00,29.33,0.00,18.32,0.00,0.00,0,54499
35,5.19,0.00,0.00,0.00,0.00,28.53,0.00,18.15,0.00,0.00,0,41499
36,5.29,0.00,0.00,0.00,0.00,29.16,0.00,18.47,0.00,0.00,0,47999
37,5.56,0.00,0.00,0.00,0.00,31.17,0.00,18.89,0.00,0.00,0,87999
38,5.41,0.00,0.00,0.00,0.00,30.10,0.00,18.60,0.00,0.00,0,81499
39,3.93,0.00,0.00,0.00,0.00,16.33,0.00,19.07,0.00,0.00,0,2499
40,5.34,0.00,0.00,0.00,0.00,29.73,0.00,18.34,0.00,0.00,0,76499
41,5.33,0.00,0.00,0.00,0.00,29.65,0.00,18.33,0.00,0.00,0,25999
42,5.06,0.00,0.00,0.00,0.00,28.06,0.00,17.52,0.00,0.00,0,22499
43,5.22,0.00,0.00,0.00,0.00,28.63,0.00,18.38,0.00,0.00,0,48499
44,5.31,0.00,0.00,0.00,0.00,29.55,0.00,18.25,0.00,0.00,0,34499
45,5.20,0.00,0.00,0.00,0.00,28.61,0.00,18.17,0.00,0.00,0,39499
46,5.12,0.00,0.00,0.00,0.00,28.24,0.00,17.84,0.00,0.00,0,19499
47,3.91,0.00,0.00,0.00,0.00,19.24,0.00,15.96,0.00,0.00,0,4499
48,5.33,0.00,0.00,0.00,0.00,29.66,0.00,18.33,0.00,0.00,0,73999
49,5.50,0.00,0.00,0.00,0.00,30.65,0.00,18.86,0.00,0.00,0,83499
50,5.25,0.00,0.00,0.00,0.00,28.97,0.00,18.24,0.00,0.00,0,70499
51,5.32,0.00,0.00,0.00,0.00,29.59,0.00,18.25,0.00,0.00,0,61999
52,5.25,0.00,0.00,0.00,0.00,29.23,0.00,18.06,0.00,0.00,0,58499
53,4.93,0.00,0.00,0.00,0.00,26.88,0.00,17.45,0.00,0.00,0,13499
54,5.18,0.00,0.00,0.00,0.00,28.84,0.00,17.79,0.00,0.00,0,21999
55,5.27,0.00,0.00,0.00,0.00,29.56,0.00,17.88,0.00,0.00,0,17499
56,5.29,0.00,0.00,0.00,0.00,29.42,0.00,18.23,0.00,0.00,0,28999
57,5.21,0.00,0.00,0.00,0.00,29.02,0.00,17.90,0.00,0.00,0,24499
58,5.39,0.00,0.00,0.00,0.00,29.99,0.00,18.51,0.00,0.00,0,53499
59,5.27,0.00,0.00,0.00,0.00,29.16,0.00,18.24,0.00,0.00,0,59999
60,4.96,0.00,0.00,0.00,0.00,27.21,0.00,17.46,0.00,0.00,0,12499
61,5.43,0.00,0.00,0.00,0.00,30.28,0.00,18.55,0.00,0.00,0,86999
62,5.47,0.00,0.00,0.00,0.00,30.54,0.00,18.65,0.00,0.00,0,81999
63,5.26,0.00,0.00,0.00,0.00,29.13,0.00,18.21,0.00,0.00,0,64999
64,5.30,0.00,0.00,0.00,0.00,29.39,0.00,18.27,0.00,0.00,0,63499
65,4.99,0.00,0.00,0.00,0.00,27.57,0.00,17.35,0.00,0.00,0,11999
66,5.29,0.00,0.00,0.00,0.00,29.14,0.00,18.47,0.00,0.00,0,36999
67,5.31,0.00,0.00,0.00,0.00,29.34,0.00,18.41,0.00,0.00,0,39999
68,5.28,0.00,0.00,0.00,0.00,29.54,0.00,18.01,0.00,0.00,0,28499
69,5.29,0.00,0.00,0.00,0.00,29.35,0.00,18.25,0.00,0.00,0,66499
70,5.15,0.00,0.00,0.00,0.00,28.58,0.00,17.75,0.00,0.00,0,16499
71,5.50,0.00,0.00,0.00,0.00,30.74,0.00,18.73,0.00,0.00,0,80999
72,5.26,0.00,0.00,0.00,0.00,29.01,0.00,18.29,0.00,0.00,0,50999
73,4.52,0.00,0.00,0.00,0.00,23.32,0.00,17.34,0.00,0.00,0,7499
74,5.34,0.00,0.00,0.00,0.00,29.66,0.00,18.40,0.00,0.00,0,52999
75,5.04,0.00,0.00,0.00,0.00,27.97,0.00,17.43,0.00,0.00,0,15999
76,5.29,0.00,0.00,0.00,0.00,29.25,0.00,18.39,0.00,0.00,0,51999
77,5.34,0.00,0.00,0.00,0.00,29.65,0.00,18.38,0.00,0.00,0,67499
78,4.92,0.00,0.00,0.00,0.00,26.68,0.00,17.60,0.00,0.00,0,11499
79,5.33,0.00,0.00,0.00,0.00,29.63,0.00,18.34,0.00,0.00,0,70999
80,5.21,0.00,0.00,0.00,0.00,28.79,0.00,18.08,0.00,0.00,0,31499
81,5.35,0.00,0.00,0.00,0.00,29.83,0.00,18.29,0.00,0.00,0,22999
82,4.88,0.00,0.00,0.00,0.00,26.75,0.00,17.20,0.00,0.00,0,13999
83,5.20,0.00,0.00,0.00,0.00,29.03,0.00,17.73,0.00,0.00,0,20499
84,5.38,0.00,0.00,0.00,0.00,29.86,0.00,18.60,0.00,0.00,0,85499
85,4.83,0.00,0.00,0.00,0.00,25.74,0.00,17.72,0.00,0.00,0,9999
86,3.86,0.00,0.00,0.00,0.00,19.32,0.00,15.43,0.00,0.00,0,4999
87,5.12,0.00,0.00,0.00,0.00,28.61,0.00,17.49,0.00,0.00,0,16999
88,5.30,0.00,0.00,0.00,0.00,29.21,0.00,18.53,0.00,0.00,0,38499
89,5.01,0.00,0.00,0.00,0.00,27.71,0.00,17.39,0.00,0.00,0,14499
90,5.33,0.00,0.00,0.00,0.00,29.49,0.00,18.48,0.00,0.00,0,60999
91,5.29,0.00,0.00,0.00,0.00,29.09,0.00,18.48,0.00,0.00,0,42499
92,4.03,0.00,0.00,0.00,0.00,21.42,0.00,14.87,0.00,0.00,0,5999
93,5.06,0.00,0.00,0.00,0.00,28.12,0.00,17.46,0.00,0.00,0,21499
94,5.30,0.00,0.00,0.00,0.00,29.49,0.00,18.24,0.00,0.00,0,74499
95,5.24,0.00,0.00,0.00,0.00,29.16,0.00,18.04,0.00,0.00,0,26499
96,5.34,0.00,0.00,0.00,0.00,29.53,0.00,18.54,0.00,0.00,0,43999
97,4.18,0.00,0.00,0.00,0.00,22.19,0.00,15.44,0.00,0.00,0,6499
98,4.18,0.00,0.00,0.00,0.00,22.11,0.00,15.55,0.00,0.00,0,6999
99,5.35,0.00,0.00,0.00,0.00,29.69,0.00,18.48,0.00,0.00,0,72999
100,5.23,0.00,0.00,0.00,0.00,28.89,0.00,18.19,0.00,0.00,0,37999
