,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,0.0,0.0,0.0,15.51,0.0,0.0,0.0,0.0,66.06,0.0,73.55,0.0,0.0,0,3999
1,1.0,1.0,1.0,1.0,15.67,0.0,0.0,0.0,0.0,66.62,0.0,74.44,0.0,0.0,0,7999
2,2.0,2.0,2.0,,15.78,0.0,0.0,0.0,0.0,67.09,0.0,74.93,0.0,0.0,0,11999
3,3.0,3.0,3.0,,15.91,0.0,0.0,0.0,0.0,67.81,0.0,75.4,0.0,0.0,0,15999
4,4.0,4.0,4.0,,15.98,0.0,0.0,0.0,0.0,68.29,0.0,75.51,0.0,0.0,0,19999
5,5.0,5.0,5.0,,15.98,0.0,0.0,0.0,0.0,68.13,0.0,75.65,0.0,0.0,0,23999
6,6.0,6.0,6.0,,16.02,0.0,0.0,0.0,0.0,68.36,0.0,75.82,0.0,0.0,0,27999
7,7.0,7.0,,,16.03,0.0,0.0,0.0,0.0,68.42,0.0,75.89,0.0,0.0,0,31999
8,8.0,8.0,,,15.97,0.0,0.0,0.0,0.0,67.87,0.0,75.9,0.0,0.0,1,35999
9,9.0,9.0,,,15.98,0.0,0.0,0.0,0.0,68.02,0.0,75.79,0.0,0.0,1,39999
10,10.0,10.0,,,16.03,0.0,0.0,0.0,0.0,68.35,0.0,75.95,0.0,0.0,1,43999
11,11.0,11.0,,,16.05,0.0,0.0,0.0,0.0,68.35,0.0,76.07,0.0,0.0,1,47999
12,12.0,12.0,,,16.03,0.0,0.0,0.0,0.0,68.27,0.0,76.04,0.0,0.0,1,51999
13,13.0,13.0,,,16.05,0.0,0.0,0.0,0.0,68.38,0.0,76.11,0.0,0.0,1,55999
14,14.0,,,,16.06,0.0,0.0,0.0,0.0,68.14,0.0,76.43,0.0,0.0,1,59999
15,15.0,,,,16.03,0.0,0.0,0.0,0.0,68.17,0.0,76.06,0.0,0.0,1,63999
16,16.0,,,,16.03,0.0,0.0,0.0,0.0,68.26,0.0,75.97,0.0,0.0,1,67999
17,17.0,,,,16.01,0.0,0.0,0.0,0.0,68.1,0.0,75.99,0.0,0.0,2,71999
18,18.0,,,,16.05,0.0,0.0,0.0,0.0,68.34,0.0,76.11,0.0,0.0,2,75999
19,19.0,,,,16.07,0.0,0.0,0.0,0.0,68.44,0.0,76.17,0.0,0.0,2,79999
20,20.0,,,,15.98,0.0,0.0,0.0,0.0,67.68,0.0,76.18,0.0,0.0,2,83999
21,21.0,,,,16.04,0.0,0.0,0.0,0.0,68.22,0.0,76.1,0.0,0.0,2,87999
22,22.0,,,,16.03,0.0,0.0,0.0,0.0,67.94,0.0,76.29,0.0,0.0,2,91999
23,23.0,,,,16.04,0.0,0.0,0.0,0.0,68.24,0.0,76.13,0.0,0.0,2,95999
24,24.0,,,,15.98,0.0,0.0,0.0,0.0,67.71,0.0,76.08,0.0,0.0,2,99999
25,25.0,,,,15.99,0.0,0.0,0.0,0.0,67.98,0.0,75.94,0.0,0.0,2,103999
26,26.0,,,,15.99,0.0,0.0,0.0,0.0,67.96,0.0,75.99,0.0,0.0,3,107999
27,,,,,15.95,0.00,0.00,0.00,0.00,67.56,0.00,75.95,0.00,0.00,3,111999
28,,,,,15.95,0.00,0.00,0.00,0.00,67.67,0.00,75.86,0.00,0.00,3,115999
29,,,,,15.98,0.00,0.00,0.00,0.00,67.89,0.00,75.90,0.00,0.00,3,119999
30,,,,,16.00,0.00,0.00,0.00,0.00,68.11,0.00,75.93,0.00,0.00,3,123999
31,,,,,15.97,0.00,0.00,0.00,0.00,67.86,0.00,75.90,0.00,0.00,3,127999
32,,,,,15.95,0.00,0.00,0.00,0.00,67.60,0.00,75.95,0.00,0.00,3,131999
33,,,,,15.97,0.00,0.00,0.00,0.00,67.74,0.00,75.95,0.00,0.00,3,135999
34,,,,,15.98,0.00,0.00,0.00,0.00,67.82,0.00,76.03,0.00,0.00,3,139999
35,,,,,15.89,0.00,0.00,0.00,0.00,67.26,0.00,75.77,0.00,0.00,4,143999
36,,,,,15.94,0.00,0.00,0.00,0.00,67.64,0.00,75.85,0.00,0.00,4,147999
37,,,,,15.95,0.00,0.00,0.00,0.00,67.73,0.00,75.80,0.00,0.00,4,151999
38,,,,,15.95,0.00,0.00,0.00,0.00,67.74,0.00,75.85,0.00,0.00,4,155999
39,,,,,15.93,0.00,0.00,0.00,0.00,67.64,0.00,75.73,0.00,0.00,4,159999
40,,,,,15.89,0.00,0.00,0.00,0.00,67.16,0.00,75.81,0.00,0.00,4,163999
41,,,,,15.87,0.00,0.00,0.00,0.00,67.10,0.00,75.69,0.00,0.00,4,167999
42,,,,,15.88,0.00,0.00,0.00,0.00,67.20,0.00,75.75,0.00,0.00,4,171999
