,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,65.45,0.0,73.11,0.0,0.0,0,3999
1,1.0,1.0,1.0,15.37,0.0,0.0,0.0,0.0,65.14,0.0,73.22,0.0,0.0,0,7999
2,2.0,2.0,2.0,15.41,0.0,0.0,0.0,0.0,65.17,0.0,73.55,0.0,0.0,0,11999
3,3.0,3.0,3.0,15.46,0.0,0.0,0.0,0.0,65.76,0.0,73.4,0.0,0.0,0,15999
4,4.0,4.0,4.0,15.5,0.0,0.0,0.0,0.0,65.68,0.0,73.79,0.0,0.0,0,19999
5,5.0,5.0,5.0,15.61,0.0,0.0,0.0,0.0,66.12,0.0,74.38,0.0,0.0,0,23999
6,6.0,6.0,6.0,15.63,0.0,0.0,0.0,0.0,66.28,0.0,74.41,0.0,0.0,0,27999
7,7.0,7.0,7.0,15.71,0.0,0.0,0.0,0.0,66.93,0.0,74.45,0.0,0.0,0,31999
8,8.0,8.0,8.0,15.73,0.0,0.0,0.0,0.0,66.95,0.0,74.64,0.0,0.0,0,35999
9,9.0,9.0,9.0,15.74,0.0,0.0,0.0,0.0,66.82,0.0,74.81,0.0,0.0,0,39999
10,10.0,10.0,10.0,15.8,0.0,0.0,0.0,0.0,67.23,0.0,74.95,0.0,0.0,0,43999
11,11.0,11.0,11.0,15.79,0.0,0.0,0.0,0.0,67.03,0.0,75.07,0.0,0.0,0,47999
12,12.0,12.0,12.0,15.85,0.0,0.0,0.0,0.0,67.55,0.0,75.12,0.0,0.0,0,51999
13,13.0,13.0,13.0,15.8,0.0,0.0,0.0,0.0,66.99,0.0,75.19,0.0,0.0,0,55999
14,14.0,14.0,14.0,15.85,0.0,0.0,0.0,0.0,67.52,0.0,75.15,0.0,0.0,0,59999
15,15.0,15.0,15.0,15.84,0.0,0.0,0.0,0.0,67.24,0.0,75.32,0.0,0.0,0,63999
16,16.0,16.0,16.0,15.81,0.0,0.0,0.0,0.0,66.95,0.0,75.32,0.0,0.0,0,67999
17,17.0,17.0,17.0,15.86,0.0,0.0,0.0,0.0,67.36,0.0,75.39,0.0,0.0,0,71999
18,18.0,18.0,18.0,15.87,0.0,0.0,0.0,0.0,67.41,0.0,75.4,0.0,0.0,0,75999
19,19.0,19.0,19.0,15.85,0.0,0.0,0.0,0.0,67.27,0.0,75.36,0.0,0.0,0,79999
20,20.0,20.0,20.0,15.86,0.0,0.0,0.0,0.0,67.24,0.0,75.46,0.0,0.0,0,83999
21,21.0,21.0,21.0,15.87,0.0,0.0,0.0,0.0,67.24,0.0,75.62,0.0,0.0,0,87999
22,22.0,22.0,22.0,15.87,0.0,0.0,0.0,0.0,67.47,0.0,75.38,0.0,0.0,0,91999
23,23.0,23.0,23.0,15.79,0.0,0.0,0.0,0.0,66.91,0.0,75.24,0.0,0.0,0,95999
24,24.0,24.0,24.0,15.91,0.0,0.0,0.0,0.0,67.65,0.0,75.5,0.0,0.0,0,99999
25,25.0,25.0,25.0,15.88,0.0,0.0,0.0,0.0,67.3,0.0,75.63,0.0,0.0,0,103999
26,26.0,26.0,26.0,15.94,0.0,0.0,0.0,0.0,67.81,0.0,75.65,0.0,0.0,0,107999
27,27.0,27.0,,15.89,0.0,0.0,0.0,0.0,67.44,0.0,75.6,0.0,0.0,0,111999
28,28.0,28.0,,15.92,0.0,0.0,0.0,0.0,67.63,0.0,75.65,0.0,0.0,0,113999
29,29.0,29.0,,15.97,0.0,0.0,0.0,0.0,68.0,0.0,75.71,0.0,0.0,0,115999
30,30.0,30.0,,15.89,0.0,0.0,0.0,0.0,67.44,0.0,75.55,0.0,0.0,0,117999
31,31.0,31.0,,15.94,0.0,0.0,0.0,0.0,67.82,0.0,75.61,0.0,0.0,0,119999
