,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,15.43,0.00,0.00,0.00,0.00,65.58,0.00,73.26,0.00,0.00,0,3999
1,15.50,0.00,0.00,0.00,0.00,65.63,0.00,73.88,0.00,0.00,0,7999
2,15.62,0.00,0.00,0.00,0.00,66.49,0.00,74.07,0.00,0.00,0,11999
3,15.66,0.00,0.00,0.00,0.00,66.52,0.00,74.45,0.00,0.00,0,15999
4,15.80,0.00,0.00,0.00,0.00,67.59,0.00,74.60,0.00,0.00,0,19999
5,15.78,0.00,0.00,0.00,0.00,67.04,0.00,75.02,0.00,0.00,0,23999
6,15.84,0.00,0.00,0.00,0.00,67.32,0.00,75.27,0.00,0.00,0,27999
7,15.92,0.00,0.00,0.00,0.00,67.83,0.00,75.44,0.00,0.00,0,31999
8,15.91,0.00,0.00,0.00,0.00,67.83,0.00,75.32,0.00,0.00,0,35999
9,15.89,0.00,0.00,0.00,0.00,67.59,0.00,75.45,0.00,0.00,0,39999
10,15.96,0.00,0.00,0.00,0.00,68.07,0.00,75.57,0.00,0.00,0,43999
11,15.94,0.00,0.00,0.00,0.00,67.69,0.00,75.73,0.00,0.00,0,47999
12,15.99,0.00,0.00,0.00,0.00,68.09,0.00,75.79,0.00,0.00,0,51999
13,15.95,0.00,0.00,0.00,0.00,67.69,0.00,75.85,0.00,0.00,0,55999
14,15.96,0.00,0.00,0.00,0.00,67.78,0.00,75.88,0.00,0.00,0,59999
15,16.03,0.00,0.00,0.00,0.00,68.21,0.00,76.09,0.00,0.00,0,63999
16,15.99,0.00,0.00,0.00,0.00,67.65,0.00,76.23,0.00,0.00,0,67999
17,16.02,0.00,0.00,0.00,0.00,68.14,0.00,76.00,0.00,0.00,0,71999
18,16.04,0.00,0.00,0.00,0.00,68.26,0.00,76.07,0.00,0.00,0,75999
19,16.04,0.00,0.00,0.00,0.00,68.27,0.00,76.09,0.00,0.00,0,79999
20,16.02,0.00,0.00,0.00,0.00,67.92,0.00,76.29,0.00,0.00,0,83999
21,16.05,0.00,0.00,0.00,0.00,68.32,0.00,76.12,0.00,0.00,0,87999
22,16.01,0.00,0.00,0.00,0.00,68.05,0.00,76.08,0.00,0.00,0,91999
23,16.02,0.00,0.00,0.00,0.00,68.00,0.00,76.15,0.00,0.00,0,95999
24,16.02,0.00,0.00,0.00,0.00,68.12,0.00,76.08,0.00,0.00,0,99999
25,15.99,0.00,0.00,0.00,0.00,67.74,0.00,76.14,0.00,0.00,0,103999
26,16.05,0.00,0.00,0.00,0.00,68.35,0.00,76.13,0.00,0.00,0,107999
27,16.08,0.00,0.00,0.00,0.00,68.51,0.00,76.21,0.00,0.00,0,111999
28,15.98,0.00,0.00,0.00,0.00,67.64,0.00,76.22,0.00,0.00,0,115999
29,16.05,0.00,0.00,0.00,0.00,68.24,0.00,76.24,0.00,0.00,0,119999
30,16.05,0.00,0.00,0.00,0.00,68.26,0.00,76.21,0.00,0.00,0,123999
31,16.04,0.00,0.00,0.00,0.00,68.09,0.00,76.24,0.00,0.00,0,127999
32,16.05,0.00,0.00,0.00,0.00,68.19,0.00,76.28,0.00,0.00,0,131999
33,16.05,0.00,0.00,0.00,0.00,68.19,0.00,76.26,0.00,0.00,0,135999
34,16.01,0.00,0.00,0.00,0.00,67.98,0.00,76.15,0.00,0.00,0,139999
35,16.00,0.00,0.00,0.00,0.00,67.55,0.00,76.44,0.00,0.00,1,143999
