,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,15.71,0.00,0.00,0.00,0.00,66.43,0.00,74.93,0.00,0.00,0,3999
1,15.93,0.00,0.00,0.00,0.00,67.50,0.00,75.85,0.00,0.00,0,7999
2,15.92,0.00,0.00,0.00,0.00,67.42,0.00,75.89,0.00,0.00,0,11999
3,15.96,0.00,0.00,0.00,0.00,67.53,0.00,76.14,0.00,0.00,0,15999
4,15.95,0.00,0.00,0.00,0.00,67.21,0.00,76.37,0.00,0.00,0,19999
5,15.99,0.00,0.00,0.00,0.00,67.50,0.00,76.40,0.00,0.00,0,23999
6,15.98,0.00,0.00,0.00,0.00,67.54,0.00,76.31,0.00,0.00,0,27999
7,15.92,0.00,0.00,0.00,0.00,66.90,0.00,76.40,0.00,0.00,0,31999
8,15.92,0.00,0.00,0.00,0.00,67.06,0.00,76.24,0.00,0.00,0,35999
9,15.94,0.00,0.00,0.00,0.00,67.17,0.00,76.31,0.00,0.00,0,39999
10,15.96,0.00,0.00,0.00,0.00,67.27,0.00,76.35,0.00,0.00,0,43999
11,15.96,0.00,0.00,0.00,0.00,67.29,0.00,76.35,0.00,0.00,0,47999
12,15.90,0.00,0.00,0.00,0.00,66.71,0.00,76.38,0.00,0.00,0,51999
13,15.95,0.00,0.00,0.00,0.00,67.30,0.00,76.23,0.00,0.00,0,55999
14,15.97,0.00,0.00,0.00,0.00,67.32,0.00,76.42,0.00,0.00,0,59999
15,15.93,0.00,0.00,0.00,0.00,66.96,0.00,76.45,0.00,0.00,0,63999
16,15.96,0.00,0.00,0.00,0.00,67.24,0.00,76.40,0.00,0.00,0,67999
17,15.89,0.00,0.00,0.00,0.00,66.71,0.00,76.31,0.00,0.00,1,71999
18,15.87,0.00,0.00,0.00,0.00,66.56,0.00,76.30,0.00,0.00,1,75999
19,15.91,0.00,0.00,0.00,0.00,66.83,0.00,76.35,0.00,0.00,1,79999
20,15.87,0.00,0.00,0.00,0.00,66.66,0.00,76.14,0.00,0.00,1,83999
21,15.89,0.00,0.00,0.00,0.00,66.80,0.00,76.25,0.00,0.00,1,87999
22,15.82,0.00,0.00,0.00,0.00,66.35,0.00,76.00,0.00,0.00,1,91999
23,15.91,0.00,0.00,0.00,0.00,66.96,0.00,76.20,0.00,0.00,1,95999
24,15.85,0.00,0.00,0.00,0.00,66.59,0.00,76.02,0.00,0.00,1,99999
25,15.87,0.00,0.00,0.00,0.00,66.63,0.00,76.18,0.00,0.00,1,103999
26,15.87,0.00,0.00,0.00,0.00,66.50,0.00,76.31,0.00,0.00,1,107999
