,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,15.72,0.00,0.00,0.00,0.00,66.69,0.00,74.81,0.00,0.00,0,3999
1,15.97,0.00,0.00,0.00,0.00,68.16,0.00,75.54,0.00,0.00,0,7999
2,15.97,0.00,0.00,0.00,0.00,67.83,0.00,75.88,0.00,0.00,0,11999
3,16.05,0.00,0.00,0.00,0.00,68.64,0.00,75.85,0.00,0.00,0,15999
4,16.03,0.00,0.00,0.00,0.00,68.16,0.00,76.10,0.00,0.00,0,19999
5,16.06,0.00,0.00,0.00,0.00,68.27,0.00,76.25,0.00,0.00,0,23999
6,16.04,0.00,0.00,0.00,0.00,68.10,0.00,76.24,0.00,0.00,0,27999
7,16.02,0.00,0.00,0.00,0.00,67.97,0.00,76.18,0.00,0.00,0,31999
8,16.10,0.00,0.00,0.00,0.00,68.53,0.00,76.36,0.00,0.00,0,35999
9,16.05,0.00,0.00,0.00,0.00,68.02,0.00,76.43,0.00,0.00,0,39999
10,16.04,0.00,0.00,0.00,0.00,68.24,0.00,76.12,0.00,0.00,0,43999
11,16.01,0.00,0.00,0.00,0.00,67.75,0.00,76.31,0.00,0.00,0,47999
12,16.00,0.00,0.00,0.00,0.00,67.74,0.00,76.27,0.00,0.00,0,51999
13,15.99,0.00,0.00,0.00,0.00,67.69,0.00,76.21,0.00,0.00,0,55999
14,15.99,0.00,0.00,0.00,0.00,67.71,0.00,76.17,0.00,0.00,0,59999
15,16.03,0.00,0.00,0.00,0.00,67.99,0.00,76.24,0.00,0.00,0,63999
16,16.00,0.00,0.00,0.00,0.00,67.83,0.00,76.20,0.00,0.00,0,67999
17,15.95,0.00,0.00,0.00,0.00,67.56,0.00,76.02,0.00,0.00,0,71999
18,15.93,0.00,0.00,0.00,0.00,67.30,0.00,76.07,0.00,0.00,0,75999
19,15.94,0.00,0.00,0.00,0.00,67.34,0.00,76.09,0.00,0.00,0,79999
20,15.95,0.00,0.00,0.00,0.00,67.42,0.00,76.17,0.00,0.00,0,83999
21,15.95,0.00,0.00,0.00,0.00,67.39,0.00,76.13,0.00,0.00,0,87999
22,15.94,0.00,0.00,0.00,0.00,67.32,0.00,76.15,0.00,0.00,0,91999
23,15.89,0.00,0.00,0.00,0.00,66.94,0.00,76.08,0.00,0.00,0,95999
24,15.98,0.00,0.00,0.00,0.00,67.62,0.00,76.23,0.00,0.00,0,99999
25,15.89,0.00,0.00,0.00,0.00,67.11,0.00,75.93,0.00,0.00,0,103999
26,15.92,0.00,0.00,0.00,0.00,67.29,0.00,76.01,0.00,0.00,0,107999
27,15.93,0.00,0.00,0.00,0.00,67.19,0.00,76.16,0.00,0.00,0,111999
28,15.89,0.00,0.00,0.00,0.00,66.75,0.00,76.22,0.00,0.00,0,115999
29,15.90,0.00,0.00,0.00,0.00,67.01,0.00,76.08,0.00,0.00,0,119999
30,15.86,0.00,0.00,0.00,0.00,66.70,0.00,76.03,0.00,0.00,0,123999
31,15.86,0.00,0.00,0.00,0.00,66.99,0.00,75.79,0.00,0.00,0,127999
32,15.82,0.00,0.00,0.00,0.00,66.43,0.00,75.99,0.00,0.00,0,131999
33,15.87,0.00,0.00,0.00,0.00,66.96,0.00,75.83,0.00,0.00,0,135999
34,15.83,0.00,0.00,0.00,0.00,66.57,0.00,75.90,0.00,0.00,0,139999
35,15.89,0.00,0.00,0.00,0.00,67.12,0.00,75.89,0.00,0.00,1,143999
36,15.87,0.00,0.00,0.00,0.00,66.83,0.00,75.99,0.00,0.00,1,147999
37,15.85,0.00,0.00,0.00,0.00,66.80,0.00,75.81,0.00,0.00,1,151999
38,15.83,0.00,0.00,0.00,0.00,66.82,0.00,75.69,0.00,0.00,1,155999
39,15.83,0.00,0.00,0.00,0.00,66.67,0.00,75.79,0.00,0.00,1,159999
40,15.84,0.00,0.00,0.00,0.00,66.76,0.00,75.84,0.00,0.00,1,163999
41,15.84,0.00,0.00,0.00,0.00,66.79,0.00,75.76,0.00,0.00,1,167999
42,15.83,0.00,0.00,0.00,0.00,66.67,0.00,75.83,0.00,0.00,1,171999
43,15.82,0.00,0.00,0.00,0.00,66.52,0.00,75.86,0.00,0.00,1,175999
44,15.79,0.00,0.00,0.00,0.00,66.29,0.00,75.79,0.00,0.00,1,179999
45,15.86,0.00,0.00,0.00,0.00,66.96,0.00,75.75,0.00,0.00,1,183999
46,15.78,0.00,0.00,0.00,0.00,66.24,0.00,75.74,0.00,0.00,1,187999
