,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,13.31,0.00,0.00,0.00,0.00,60.29,0.00,59.53,0.00,0.00,0,18999
1,13.27,0.00,0.00,0.00,0.00,60.13,0.00,59.30,0.00,0.00,0,3999
2,13.27,0.00,0.00,0.00,0.00,60.14,0.00,59.29,0.00,0.00,0,2999
3,13.29,0.00,0.00,0.00,0.00,60.21,0.00,59.40,0.00,0.00,0,8999
4,13.32,0.00,0.00,0.00,0.00,60.28,0.00,59.58,0.00,0.00,0,25999
5,13.31,0.00,0.00,0.00,0.00,60.28,0.00,59.55,0.00,0.00,0,21999
6,13.32,0.00,0.00,0.00,0.00,60.29,0.00,59.60,0.00,0.00,0,28999
7,13.30,0.00,0.00,0.00,0.00,60.23,0.00,59.45,0.00,0.00,0,11999
8,13.31,0.00,0.00,0.00,0.00,60.25,0.00,59.50,0.00,0.00,0,15999
9,13.32,0.00,0.00,0.00,0.00,60.28,0.00,59.63,0.00,0.00,0,31499
10,13.32,0.00,0.00,0.00,0.00,60.29,0.00,59.55,0.00,0.00,0,22999
11,13.30,0.00,0.00,0.00,0.00,60.22,0.00,59.47,0.00,0.00,0,13999
12,13.29,0.00,0.00,0.00,0.00,60.22,0.00,59.42,0.00,0.00,0,9999
13,13.28,0.00,0.00,0.00,0.00,60.16,0.00,59.33,0.00,0.00,0,4999
14,13.31,0.00,0.00,0.00,0.00,60.27,0.00,59.51,0.00,0.00,0,16999
15,13.28,0.00,0.00,0.00,0.00,60.18,0.00,59.35,0.00,0.00,0,5999
16,13.28,0.00,0.00,0.00,0.00,60.20,0.00,59.36,0.00,0.00,0,6999
17,13.32,0.00,0.00,0.00,0.00,60.28,0.00,59.62,0.00,0.00,0,31399
18,13.32,0.00,0.00,0.00,0.00,60.29,0.00,59.57,0.00,0.00,0,24999
19,13.32,0.00,0.00,0.00,0.00,60.29,0.00,59.59,0.00,0.00,0,26999
20,13.31,0.00,0.00,0.00,0.00,60.28,0.00,59.52,0.00,0.00,0,17999
21,13.31,0.00,0.00,0.00,0.00,60.28,0.00,59.54,0.00,0.00,0,19999
22,13.30,0.00,0.00,0.00,0.00,60.23,0.00,59.46,0.00,0.00,0,12999
23,13.29,0.00,0.00,0.00,0.00,60.20,0.00,59.38,0.00,0.00,0,7999
24,13.26,0.00,0.00,0.00,0.00,60.09,0.00,59.28,0.00,0.00,0,1999
25,13.26,0.00,0.00,0.00,0.00,60.07,0.00,59.30,0.00,0.00,0,999
26,13.32,0.00,0.00,0.00,0.00,60.28,0.00,59.59,0.00,0.00,0,27999
27,13.32,0.00,0.00,0.00,0.00,60.28,0.00,59.57,0.00,0.00,0,23999
28,13.31,0.00,0.00,0.00,0.00,60.29,0.00,59.54,0.00,0.00,0,20999
29,13.30,0.00,0.00,0.00,0.00,60.23,0.00,59.43,0.00,0.00,0,10999
30,13.30,0.00,0.00,0.00,0.00,60.24,0.00,59.49,0.00,0.00,0,14999
31,13.32,0.00,0.00,0.00,0.00,60.28,0.00,59.62,0.00,0.00,0,30999
32,13.32,0.00,0.00,0.00,0.00,60.28,0.00,59.61,0.00,0.00,0,29999
