,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,12.89,0.00,0.00,0.00,0.00,59.91,0.00,56.12,0.00,0.00,1,8999
1,12.74,0.00,0.00,0.00,0.00,59.42,0.00,55.22,0.00,0.00,2,17999
2,12.79,0.00,0.00,0.00,0.00,59.57,0.00,55.51,0.00,0.00,1,14999
3,12.87,0.00,0.00,0.00,0.00,59.85,0.00,56.02,0.00,0.00,1,9999
4,13.02,0.00,0.00,0.00,0.00,60.38,0.00,56.82,0.00,0.00,0,3999
5,13.07,0.00,0.00,0.00,0.00,60.55,0.00,57.06,0.00,0.00,0,2999
6,12.75,0.00,0.00,0.00,0.00,59.45,0.00,55.32,0.00,0.00,2,16999
7,12.91,0.00,0.00,0.00,0.00,59.95,0.00,56.22,0.00,0.00,1,7999
8,12.74,0.00,0.00,0.00,0.00,59.42,0.00,55.21,0.00,0.00,2,18099
9,12.80,0.00,0.00,0.00,0.00,59.60,0.00,55.62,0.00,0.00,1,13999
10,12.86,0.00,0.00,0.00,0.00,59.80,0.00,55.93,0.00,0.00,1,10999
11,12.99,0.00,0.00,0.00,0.00,60.24,0.00,56.65,0.00,0.00,0,4999
12,12.77,0.00,0.00,0.00,0.00,59.52,0.00,55.42,0.00,0.00,2,15999
13,12.96,0.00,0.00,0.00,0.00,60.14,0.00,56.48,0.00,0.00,0,5999
14,12.93,0.00,0.00,0.00,0.00,60.01,0.00,56.35,0.00,0.00,0,6999
15,12.82,0.00,0.00,0.00,0.00,59.68,0.00,55.72,0.00,0.00,1,12999
16,13.12,0.00,0.00,0.00,0.00,60.67,0.00,57.39,0.00,0.00,0,1999
17,13.20,0.00,0.00,0.00,0.00,60.65,0.00,58.11,0.00,0.00,0,999
18,12.84,0.00,0.00,0.00,0.00,59.75,0.00,55.84,0.00,0.00,1,11999
