,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,13.31,0.00,0.00,0.00,0.00,60.39,0.00,59.39,0.00,0.00,0,18999
1,13.28,0.00,0.00,0.00,0.00,60.28,0.00,59.23,0.00,0.00,0,3999
2,13.27,0.00,0.00,0.00,0.00,60.23,0.00,59.22,0.00,0.00,0,2999
3,13.29,0.00,0.00,0.00,0.00,60.33,0.00,59.28,0.00,0.00,0,8999
4,13.30,0.00,0.00,0.00,0.00,60.38,0.00,59.33,0.00,0.00,0,11999
5,13.30,0.00,0.00,0.00,0.00,60.37,0.00,59.36,0.00,0.00,0,15999
6,13.30,0.00,0.00,0.00,0.00,60.39,0.00,59.34,0.00,0.00,0,13999
7,13.29,0.00,0.00,0.00,0.00,60.35,0.00,59.30,0.00,0.00,0,9999
8,13.28,0.00,0.00,0.00,0.00,60.30,0.00,59.24,0.00,0.00,0,4999
9,13.31,0.00,0.00,0.00,0.00,60.38,0.00,59.37,0.00,0.00,0,16999
10,13.29,0.00,0.00,0.00,0.00,60.34,0.00,59.25,0.00,0.00,0,5999
11,13.29,0.00,0.00,0.00,0.00,60.35,0.00,59.26,0.00,0.00,0,6999
12,13.31,0.00,0.00,0.00,0.00,60.39,0.00,59.39,0.00,0.00,0,17999
13,13.31,0.00,0.00,0.00,0.00,60.38,0.00,59.39,0.00,0.00,0,19999
14,13.30,0.00,0.00,0.00,0.00,60.38,0.00,59.34,0.00,0.00,0,12999
15,13.29,0.00,0.00,0.00,0.00,60.35,0.00,59.27,0.00,0.00,0,7999
16,13.27,0.00,0.00,0.00,0.00,60.22,0.00,59.21,0.00,0.00,0,1999
17,13.26,0.00,0.00,0.00,0.00,60.11,0.00,59.25,0.00,0.00,0,999
18,13.31,0.00,0.00,0.00,0.00,60.39,0.00,59.40,0.00,0.00,0,20999
19,13.30,0.00,0.00,0.00,0.00,60.36,0.00,59.31,0.00,0.00,0,10999
20,13.30,0.00,0.00,0.00,0.00,60.39,0.00,59.35,0.00,0.00,0,14999
