,Unnamed: 0,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,13.21,0.0,0.0,0.0,0.0,59.57,0.0,59.36,0.0,0.0,0,3999
1,1.0,13.16,0.0,0.0,0.0,0.0,59.43,0.0,59.01,0.0,0.0,0,2999
2,2.0,13.25,0.0,0.0,0.0,0.0,59.67,0.0,59.56,0.0,0.0,0,5499
3,3.0,13.13,0.0,0.0,0.0,0.0,59.3,0.0,58.87,0.0,0.0,0,2499
4,4.0,13.23,0.0,0.0,0.0,0.0,59.62,0.0,59.44,0.0,0.0,0,4499
5,5.0,13.23,0.0,0.0,0.0,0.0,59.63,0.0,59.48,0.0,0.0,0,4999
6,6.0,13.25,0.0,0.0,0.0,0.0,59.68,0.0,59.61,0.0,0.0,0,5999
7,7.0,13.12,0.0,0.0,0.0,0.0,59.15,0.0,58.94,0.0,0.0,0,499
8,8.0,13.1,0.0,0.0,0.0,0.0,59.17,0.0,58.69,0.0,0.0,0,1999
9,9.0,13.08,0.0,0.0,0.0,0.0,59.03,0.0,58.67,0.0,0.0,0,999
10,10.0,13.08,0.0,0.0,0.0,0.0,59.13,0.0,58.61,0.0,0.0,0,1499
11,11.0,13.19,0.0,0.0,0.0,0.0,59.52,0.0,59.22,0.0,0.0,0,3499
12,,13.26,0.00,0.00,0.00,0.00,59.63,0.00,59.70,0.00,0.00,1,8999
13,,13.23,0.00,0.00,0.00,0.00,59.72,0.00,59.39,0.00,0.00,2,32499
14,,13.22,0.00,0.00,0.00,0.00,59.70,0.00,59.31,0.00,0.00,3,35499
15,,13.26,0.00,0.00,0.00,0.00,59.59,0.00,59.74,0.00,0.00,1,14999
16,,13.26,0.00,0.00,0.00,0.00,59.63,0.00,59.74,0.00,0.00,1,9999
17,,13.24,0.00,0.00,0.00,0.00,59.56,0.00,59.64,0.00,0.00,1,17999
18,,13.23,0.00,0.00,0.00,0.00,59.55,0.00,59.56,0.00,0.00,2,22999
19,,13.24,0.00,0.00,0.00,0.00,59.58,0.00,59.55,0.00,0.00,2,21499
20,,13.25,0.00,0.00,0.00,0.00,59.58,0.00,59.67,0.00,0.00,1,17499
21,,13.24,0.00,0.00,0.00,0.00,59.57,0.00,59.61,0.00,0.00,1,18999
