,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,13.05,0.00,0.00,0.00,0.00,59.84,0.00,57.59,0.00,0.00,2,34999.ckpt
1,13.05,0.00,0.00,0.00,0.00,60.25,0.00,57.17,0.00,0.00,1,14999.ckpt
2,12.70,0.00,0.00,0.00,0.00,59.90,0.00,54.41,0.00,0.00,0,3999.ckpt
3,13.08,0.00,0.00,0.00,0.00,59.85,0.00,57.90,0.00,0.00,4,55999.ckpt
4,13.06,0.00,0.00,0.00,0.00,60.23,0.00,57.33,0.00,0.00,1,17999.ckpt
5,13.06,0.00,0.00,0.00,0.00,59.87,0.00,57.70,0.00,0.00,3,40999.ckpt
6,13.07,0.00,0.00,0.00,0.00,59.88,0.00,57.75,0.00,0.00,3,41999.ckpt
7,12.68,0.00,0.00,0.00,0.00,60.06,0.00,54.07,0.00,0.00,0,2999.ckpt
8,13.08,0.00,0.00,0.00,0.00,59.84,0.00,57.84,0.00,0.00,3,50999.ckpt
9,13.07,0.00,0.00,0.00,0.00,59.81,0.00,57.81,0.00,0.00,3,49999.ckpt
10,13.07,0.00,0.00,0.00,0.00,60.21,0.00,57.41,0.00,0.00,1,18999.ckpt
11,13.08,0.00,0.00,0.00,0.00,59.85,0.00,57.91,0.00,0.00,4,58999.ckpt
12,12.91,0.00,0.00,0.00,0.00,60.12,0.00,56.11,0.00,0.00,0,8999.ckpt
13,13.09,0.00,0.00,0.00,0.00,59.83,0.00,58.02,0.00,0.00,4,64999.ckpt
14,13.08,0.00,0.00,0.00,0.00,59.86,0.00,57.85,0.00,0.00,4,53999.ckpt
15,13.08,0.00,0.00,0.00,0.00,59.80,0.00,57.93,0.00,0.00,4,60999.ckpt
16,13.06,0.00,0.00,0.00,0.00,60.10,0.00,57.46,0.00,0.00,1,21999.ckpt
17,13.06,0.00,0.00,0.00,0.00,59.88,0.00,57.70,0.00,0.00,3,43999.ckpt
18,13.08,0.00,0.00,0.00,0.00,59.86,0.00,57.82,0.00,0.00,3,46999.ckpt
19,13.07,0.00,0.00,0.00,0.00,60.07,0.00,57.52,0.00,0.00,2,24999.ckpt
20,13.10,0.00,0.00,0.00,0.00,59.83,0.00,58.08,0.00,0.00,5,67999.ckpt
21,13.06,0.00,0.00,0.00,0.00,59.88,0.00,57.63,0.00,0.00,2,37999.ckpt
22,13.07,0.00,0.00,0.00,0.00,59.96,0.00,57.63,0.00,0.00,2,30999.ckpt
23,13.09,0.00,0.00,0.00,0.00,59.80,0.00,58.01,0.00,0.00,4,62999.ckpt
24,13.05,0.00,0.00,0.00,0.00,60.18,0.00,57.26,0.00,0.00,1,16999.ckpt
25,13.09,0.00,0.00,0.00,0.00,59.90,0.00,57.88,0.00,0.00,3,52999.ckpt
26,13.08,0.00,0.00,0.00,0.00,59.87,0.00,57.88,0.00,0.00,3,48999.ckpt
27,13.06,0.00,0.00,0.00,0.00,59.96,0.00,57.60,0.00,0.00,2,28999.ckpt
28,13.07,0.00,0.00,0.00,0.00,60.09,0.00,57.53,0.00,0.00,1,22999.ckpt
29,13.07,0.00,0.00,0.00,0.00,59.83,0.00,57.79,0.00,0.00,3,47999.ckpt
30,13.10,0.00,0.00,0.00,0.00,59.80,0.00,58.06,0.00,0.00,5,68999.ckpt
31,13.08,0.00,0.00,0.00,0.00,59.84,0.00,57.84,0.00,0.00,3,51999.ckpt
32,13.06,0.00,0.00,0.00,0.00,59.93,0.00,57.62,0.00,0.00,2,31999.ckpt
33,13.05,0.00,0.00,0.00,0.00,59.87,0.00,57.59,0.00,0.00,2,36999.ckpt
34,13.08,0.00,0.00,0.00,0.00,59.84,0.00,57.86,0.00,0.00,4,56999.ckpt
35,13.03,0.00,0.00,0.00,0.00,60.30,0.00,56.93,0.00,0.00,1,13999.ckpt
36,13.07,0.00,0.00,0.00,0.00,60.21,0.00,57.46,0.00,0.00,1,19999.ckpt
37,12.98,0.00,0.00,0.00,0.00,60.23,0.00,56.57,0.00,0.00,1,10999.ckpt
38,13.06,0.00,0.00,0.00,0.00,59.86,0.00,57.65,0.00,0.00,3,38999.ckpt
39,13.06,0.00,0.00,0.00,0.00,60.12,0.00,57.43,0.00,0.00,1,20999.ckpt
40,13.06,0.00,0.00,0.00,0.00,59.87,0.00,57.65,0.00,0.00,2,35999.ckpt
41,12.95,0.00,0.00,0.00,0.00,60.17,0.00,56.39,0.00,0.00,0,9999.ckpt
42,12.74,0.00,0.00,0.00,0.00,59.85,0.00,54.79,0.00,0.00,0,4999.ckpt
43,13.05,0.00,0.00,0.00,0.00,59.84,0.00,57.63,0.00,0.00,3,39999.ckpt
44,12.77,0.00,0.00,0.00,0.00,59.79,0.00,55.10,0.00,0.00,0,5999.ckpt
45,13.10,0.00,0.00,0.00,0.00,59.79,0.00,58.14,0.00,0.00,5,70999.ckpt
