,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,12.65,0.00,0.00,0.00,0.00,58.69,0.00,55.16,0.00,0.00,0,49999
1,12.52,0.00,0.00,0.00,0.00,57.73,0.00,54.95,0.00,0.00,0,89999
2,12.44,0.00,0.00,0.00,0.00,57.09,0.00,54.83,0.00,0.00,0,139999
3,12.50,0.00,0.00,0.00,0.00,57.60,0.00,54.92,0.00,0.00,0,99999
4,12.61,0.00,0.00,0.00,0.00,58.38,0.00,55.10,0.00,0.00,0,59999
5,12.70,0.00,0.00,0.00,0.00,58.97,0.00,55.30,0.00,0.00,0,39999
6,12.98,0.00,0.00,0.00,0.00,60.36,0.00,56.49,0.00,0.00,0,9999
7,12.84,0.00,0.00,0.00,0.00,59.77,0.00,55.78,0.00,0.00,0,19999
8,12.55,0.00,0.00,0.00,0.00,57.93,0.00,55.00,0.00,0.00,0,79999
9,12.49,0.00,0.00,0.00,0.00,57.48,0.00,54.90,0.00,0.00,0,109999
10,12.42,0.00,0.00,0.00,0.00,56.98,0.00,54.83,0.00,0.00,0,149999
11,12.47,0.00,0.00,0.00,0.00,57.33,0.00,54.87,0.00,0.00,0,119999
12,12.45,0.00,0.00,0.00,0.00,57.24,0.00,54.84,0.00,0.00,0,129999
13,12.76,0.00,0.00,0.00,0.00,59.37,0.00,55.46,0.00,0.00,0,29999
14,12.58,0.00,0.00,0.00,0.00,58.16,0.00,55.04,0.00,0.00,0,69999
