,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,15.23,0.00,0.00,0.00,0.00,64.55,0.00,72.49,0.00,0.00,0,799
1,15.21,0.00,0.00,0.00,0.00,64.54,0.00,72.39,0.00,0.00,0,399
2,15.22,0.00,0.00,0.00,0.00,64.39,0.00,72.59,0.00,0.00,0,1399
3,15.21,0.00,0.00,0.00,0.00,64.56,0.00,72.33,0.00,0.00,0,199
4,15.22,0.00,0.00,0.00,0.00,64.53,0.00,72.48,0.00,0.00,0,699
5,15.21,0.00,0.00,0.00,0.00,64.54,0.00,72.37,0.00,0.00,0,299
6,15.20,0.00,0.00,0.00,0.00,64.54,0.00,72.29,0.00,0.00,0,99
7,15.20,0.00,0.00,0.00,0.00,64.22,0.00,72.62,0.00,0.00,0,1899
8,15.22,0.00,0.00,0.00,0.00,64.54,0.00,72.46,0.00,0.00,0,599
9,15.22,0.00,0.00,0.00,0.00,64.45,0.00,72.56,0.00,0.00,0,1199
10,15.23,0.00,0.00,0.00,0.00,64.51,0.00,72.54,0.00,0.00,0,1099
11,15.21,0.00,0.00,0.00,0.00,64.30,0.00,72.61,0.00,0.00,0,1699
12,15.22,0.00,0.00,0.00,0.00,64.42,0.00,72.57,0.00,0.00,0,1299
13,15.22,0.00,0.00,0.00,0.00,64.33,0.00,72.61,0.00,0.00,0,1599
14,15.23,0.00,0.00,0.00,0.00,64.53,0.00,72.51,0.00,0.00,0,899
15,15.22,0.00,0.00,0.00,0.00,64.54,0.00,72.43,0.00,0.00,0,499
16,15.20,0.00,0.00,0.00,0.00,64.17,0.00,72.63,0.00,0.00,0,1999
17,15.23,0.00,0.00,0.00,0.00,64.54,0.00,72.53,0.00,0.00,0,999
18,15.21,0.00,0.00,0.00,0.00,64.27,0.00,72.61,0.00,0.00,0,1799
19,15.22,0.00,0.00,0.00,0.00,64.38,0.00,72.60,0.00,0.00,0,1499
