,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,15.26,0.00,0.00,0.00,0.00,64.60,0.00,72.74,0.00,0.00,0,799
1,15.26,0.00,0.00,0.00,0.00,64.75,0.00,72.63,0.00,0.00,0,399
2,15.23,0.00,0.00,0.00,0.00,64.24,0.00,72.80,0.00,0.00,0,1399
3,15.27,0.00,0.00,0.00,0.00,64.82,0.00,72.59,0.00,0.00,0,199
4,15.26,0.00,0.00,0.00,0.00,64.63,0.00,72.72,0.00,0.00,0,699
5,15.27,0.00,0.00,0.00,0.00,64.77,0.00,72.62,0.00,0.00,0,299
6,15.26,0.00,0.00,0.00,0.00,64.83,0.00,72.55,0.00,0.00,0,99
7,15.18,0.00,0.00,0.00,0.00,63.87,0.00,72.79,0.00,0.00,0,1899
8,15.26,0.00,0.00,0.00,0.00,64.64,0.00,72.70,0.00,0.00,0,599
9,15.25,0.00,0.00,0.00,0.00,64.42,0.00,72.79,0.00,0.00,0,1199
10,15.24,0.00,0.00,0.00,0.00,64.43,0.00,72.77,0.00,0.00,0,1099
11,15.20,0.00,0.00,0.00,0.00,64.03,0.00,72.81,0.00,0.00,0,1699
12,15.24,0.00,0.00,0.00,0.00,64.37,0.00,72.79,0.00,0.00,0,1299
13,15.21,0.00,0.00,0.00,0.00,64.08,0.00,72.80,0.00,0.00,0,1599
14,15.25,0.00,0.00,0.00,0.00,64.52,0.00,72.75,0.00,0.00,0,899
15,15.27,0.00,0.00,0.00,0.00,64.72,0.00,72.67,0.00,0.00,0,499
16,15.17,0.00,0.00,0.00,0.00,63.77,0.00,72.77,0.00,0.00,0,1999
17,15.25,0.00,0.00,0.00,0.00,64.50,0.00,72.76,0.00,0.00,0,999
18,15.19,0.00,0.00,0.00,0.00,63.93,0.00,72.80,0.00,0.00,0,1799
19,15.22,0.00,0.00,0.00,0.00,64.16,0.00,72.81,0.00,0.00,0,1499
