,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,13.00,0.00,0.00,0.00,0.00,51.01,0.00,65.97,0.00,0.00,0,101999
1,13.77,0.00,0.00,0.00,0.00,55.51,0.00,68.43,0.00,0.00,0,49999
2,14.94,0.00,0.00,0.00,0.00,62.24,0.00,72.23,0.00,0.00,0,3999
3,12.96,0.00,0.00,0.00,0.00,50.79,0.00,65.85,0.00,0.00,0,105999
4,11.89,0.00,0.00,0.00,0.00,46.53,0.00,60.45,0.00,0.00,0,209999
5,13.11,0.00,0.00,0.00,0.00,51.67,0.00,66.31,0.00,0.00,0,89999
6,11.91,0.00,0.00,0.00,0.00,46.59,0.00,60.61,0.00,0.00,0,207999
7,12.89,0.00,0.00,0.00,0.00,50.42,0.00,65.58,0.00,0.00,0,115999
8,12.57,0.00,0.00,0.00,0.00,48.91,0.00,64.22,0.00,0.00,0,151999
9,12.64,0.00,0.00,0.00,0.00,49.19,0.00,64.54,0.00,0.00,0,143999
10,12.78,0.00,0.00,0.00,0.00,49.89,0.00,65.14,0.00,0.00,0,127999
11,13.88,0.00,0.00,0.00,0.00,56.23,0.00,68.73,0.00,0.00,0,45999
12,12.36,0.00,0.00,0.00,0.00,48.04,0.00,63.21,0.00,0.00,0,169999
13,13.09,0.00,0.00,0.00,0.00,51.54,0.00,66.24,0.00,0.00,0,91999
14,12.63,0.00,0.00,0.00,0.00,49.16,0.00,64.48,0.00,0.00,0,145999
15,13.38,0.00,0.00,0.00,0.00,53.25,0.00,67.16,0.00,0.00,0,67999
16,14.17,0.00,0.00,0.00,0.00,58.03,0.00,69.50,0.00,0.00,0,33999
17,13.82,0.00,0.00,0.00,0.00,55.84,0.00,68.58,0.00,0.00,0,47999
18,13.13,0.00,0.00,0.00,0.00,51.79,0.00,66.38,0.00,0.00,0,87999
19,11.83,0.00,0.00,0.00,0.00,46.33,0.00,60.13,0.00,0.00,0,213999
20,13.05,0.00,0.00,0.00,0.00,51.32,0.00,66.16,0.00,0.00,0,95999
21,12.26,0.00,0.00,0.00,0.00,47.73,0.00,62.61,0.00,0.00,0,179999
22,14.32,0.00,0.00,0.00,0.00,59.01,0.00,69.86,0.00,0.00,0,25999
23,12.67,0.00,0.00,0.00,0.00,49.36,0.00,64.66,0.00,0.00,0,139999
24,13.06,0.00,0.00,0.00,0.00,51.38,0.00,66.18,0.00,0.00,0,93999
25,13.29,0.00,0.00,0.00,0.00,52.71,0.00,66.91,0.00,0.00,0,73999
26,12.12,0.00,0.00,0.00,0.00,47.26,0.00,61.81,0.00,0.00,0,191999
27,13.49,0.00,0.00,0.00,0.00,53.92,0.00,67.52,0.00,0.00,0,61999
28,12.25,0.00,0.00,0.00,0.00,47.71,0.00,62.52,0.00,0.00,0,181999
29,12.33,0.00,0.00,0.00,0.00,47.98,0.00,63.02,0.00,0.00,0,173999
30,14.38,0.00,0.00,0.00,0.00,59.42,0.00,70.03,0.00,0.00,0,21999
31,12.35,0.00,0.00,0.00,0.00,48.00,0.00,63.14,0.00,0.00,0,171999
32,12.92,0.00,0.00,0.00,0.00,50.60,0.00,65.70,0.00,0.00,0,111999
33,13.02,0.00,0.00,0.00,0.00,51.12,0.00,66.03,0.00,0.00,0,99999
34,12.55,0.00,0.00,0.00,0.00,48.80,0.00,64.15,0.00,0.00,0,153999
35,13.53,0.00,0.00,0.00,0.00,54.15,0.00,67.64,0.00,0.00,0,59999
36,12.76,0.00,0.00,0.00,0.00,49.82,0.00,65.02,0.00,0.00,0,131999
37,11.96,0.00,0.00,0.00,0.00,46.74,0.00,60.87,0.00,0.00,0,203999
38,13.20,0.00,0.00,0.00,0.00,52.19,0.00,66.60,0.00,0.00,0,81999
39,14.56,0.00,0.00,0.00,0.00,60.45,0.00,70.57,0.00,0.00,0,11999
40,12.22,0.00,0.00,0.00,0.00,47.60,0.00,62.36,0.00,0.00,0,183999
41,12.28,0.00,0.00,0.00,0.00,47.81,0.00,62.74,0.00,0.00,0,177999
42,12.95,0.00,0.00,0.00,0.00,50.72,0.00,65.80,0.00,0.00,0,107999
43,11.72,0.00,0.00,0.00,0.00,45.98,0.00,59.52,0.00,0.00,0,221999
44,14.02,0.00,0.00,0.00,0.00,57.04,0.00,69.15,0.00,0.00,0,39999
45,12.69,0.00,0.00,0.00,0.00,49.43,0.00,64.74,0.00,0.00,0,137999
46,12.80,0.00,0.00,0.00,0.00,50.00,0.00,65.22,0.00,0.00,0,125999
47,12.83,0.00,0.00,0.00,0.00,50.12,0.00,65.32,0.00,0.00,0,123999
48,14.47,0.00,0.00,0.00,0.00,59.96,0.00,70.30,0.00,0.00,0,15999
49,13.72,0.00,0.00,0.00,0.00,55.21,0.00,68.26,0.00,0.00,0,51999
50,12.16,0.00,0.00,0.00,0.00,47.41,0.00,62.00,0.00,0.00,0,189999
51,11.80,0.00,0.00,0.00,0.00,46.23,0.00,60.00,0.00,0.00,0,215999
52,14.52,0.00,0.00,0.00,0.00,60.20,0.00,70.45,0.00,0.00,0,13999
53,12.65,0.00,0.00,0.00,0.00,49.26,0.00,64.61,0.00,0.00,0,141999
54,14.60,0.00,0.00,0.00,0.00,60.63,0.00,70.77,0.00,0.00,0,9999
55,12.09,0.00,0.00,0.00,0.00,47.15,0.00,61.68,0.00,0.00,0,193999
56,14.78,0.00,0.00,0.00,0.00,61.49,0.00,71.56,0.00,0.00,0,5999
57,12.61,0.00,0.00,0.00,0.00,49.10,0.00,64.40,0.00,0.00,0,147999
58,13.93,0.00,0.00,0.00,0.00,56.51,0.00,68.87,0.00,0.00,0,43999
59,11.98,0.00,0.00,0.00,0.00,46.78,0.00,61.04,0.00,0.00,0,201999
60,12.98,0.00,0.00,0.00,0.00,50.91,0.00,65.92,0.00,0.00,0,103999
61,14.08,0.00,0.00,0.00,0.00,57.44,0.00,69.25,0.00,0.00,0,37999
62,12.49,0.00,0.00,0.00,0.00,48.59,0.00,63.81,0.00,0.00,0,159999
63,12.84,0.00,0.00,0.00,0.00,50.18,0.00,65.38,0.00,0.00,0,121999
64,11.77,0.00,0.00,0.00,0.00,46.12,0.00,59.84,0.00,0.00,0,217999
65,14.21,0.00,0.00,0.00,0.00,58.29,0.00,69.63,0.00,0.00,0,31999
66,14.44,0.00,0.00,0.00,0.00,59.80,0.00,70.20,0.00,0.00,0,17999
67,14.42,0.00,0.00,0.00,0.00,59.63,0.00,70.15,0.00,0.00,0,19999
68,12.74,0.00,0.00,0.00,0.00,49.68,0.00,64.94,0.00,0.00,0,133999
69,12.17,0.00,0.00,0.00,0.00,47.45,0.00,62.11,0.00,0.00,0,187999
70,12.01,0.00,0.00,0.00,0.00,46.88,0.00,61.22,0.00,0.00,0,199999
71,13.24,0.00,0.00,0.00,0.00,52.44,0.00,66.74,0.00,0.00,0,77999
72,12.30,0.00,0.00,0.00,0.00,47.83,0.00,62.84,0.00,0.00,0,175999
73,12.20,0.00,0.00,0.00,0.00,47.58,0.00,62.26,0.00,0.00,0,185999
74,13.61,0.00,0.00,0.00,0.00,54.61,0.00,67.91,0.00,0.00,0,55999
75,12.04,0.00,0.00,0.00,0.00,46.97,0.00,61.36,0.00,0.00,0,197999
76,13.22,0.00,0.00,0.00,0.00,52.31,0.00,66.67,0.00,0.00,0,79999
77,12.94,0.00,0.00,0.00,0.00,50.69,0.00,65.79,0.00,0.00,0,109999
78,13.41,0.00,0.00,0.00,0.00,53.40,0.00,67.28,0.00,0.00,0,65999
79,14.12,0.00,0.00,0.00,0.00,57.74,0.00,69.37,0.00,0.00,0,35999
80,12.06,0.00,0.00,0.00,0.00,47.06,0.00,61.50,0.00,0.00,0,195999
81,14.67,0.00,0.00,0.00,0.00,60.98,0.00,71.08,0.00,0.00,0,7999
82,12.40,0.00,0.00,0.00,0.00,48.18,0.00,63.38,0.00,0.00,0,167999
83,13.67,0.00,0.00,0.00,0.00,54.91,0.00,68.09,0.00,0.00,0,53999
84,13.18,0.00,0.00,0.00,0.00,52.11,0.00,66.54,0.00,0.00,0,83999
85,11.93,0.00,0.00,0.00,0.00,46.66,0.00,60.74,0.00,0.00,0,205999
86,12.42,0.00,0.00,0.00,0.00,48.31,0.00,63.51,0.00,0.00,0,165999
87,15.16,0.00,0.00,0.00,0.00,63.67,0.00,72.78,0.00,0.00,0,1999
88,12.59,0.00,0.00,0.00,0.00,49.03,0.00,64.32,0.00,0.00,0,149999
89,12.53,0.00,0.00,0.00,0.00,48.70,0.00,64.05,0.00,0.00,0,155999
90,12.90,0.00,0.00,0.00,0.00,50.49,0.00,65.65,0.00,0.00,0,113999
91,11.85,0.00,0.00,0.00,0.00,46.40,0.00,60.26,0.00,0.00,0,211999
92,13.57,0.00,0.00,0.00,0.00,54.36,0.00,67.76,0.00,0.00,0,57999
93,14.28,0.00,0.00,0.00,0.00,58.74,0.00,69.78,0.00,0.00,0,27999
94,12.47,0.00,0.00,0.00,0.00,48.51,0.00,63.73,0.00,0.00,0,161999
95,13.15,0.00,0.00,0.00,0.00,51.91,0.00,66.44,0.00,0.00,0,85999
96,13.32,0.00,0.00,0.00,0.00,52.85,0.00,66.99,0.00,0.00,0,71999
97,12.51,0.00,0.00,0.00,0.00,48.67,0.00,63.93,0.00,0.00,0,157999
98,11.75,0.00,0.00,0.00,0.00,46.07,0.00,59.65,0.00,0.00,0,219999
99,13.03,0.00,0.00,0.00,0.00,51.19,0.00,66.08,0.00,0.00,0,97999
100,13.45,0.00,0.00,0.00,0.00,53.65,0.00,67.39,0.00,0.00,0,63999
101,12.87,0.00,0.00,0.00,0.00,50.34,0.00,65.51,0.00,0.00,0,117999
102,12.44,0.00,0.00,0.00,0.00,48.38,0.00,63.60,0.00,0.00,0,163999
103,14.35,0.00,0.00,0.00,0.00,59.20,0.00,69.92,0.00,0.00,0,23999
104,12.86,0.00,0.00,0.00,0.00,50.27,0.00,65.46,0.00,0.00,0,119999
105,13.27,0.00,0.00,0.00,0.00,52.59,0.00,66.83,0.00,0.00,0,75999
106,12.78,0.00,0.00,0.00,0.00,49.90,0.00,65.10,0.00,0.00,0,129999
107,13.98,0.00,0.00,0.00,0.00,56.77,0.00,69.01,0.00,0.00,0,41999
108,12.71,0.00,0.00,0.00,0.00,49.55,0.00,64.83,0.00,0.00,0,135999
109,14.24,0.00,0.00,0.00,0.00,58.51,0.00,69.68,0.00,0.00,0,29999
110,13.34,0.00,0.00,0.00,0.00,53.00,0.00,67.07,0.00,0.00,0,69999
