,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,13.29,0.00,0.00,0.00,0.00,59.65,0.00,59.95,0.00,0.00,0,49999
1,13.16,0.00,0.00,0.00,0.00,58.97,0.00,59.43,0.00,0.00,0,89999
2,13.13,0.00,0.00,0.00,0.00,58.79,0.00,59.34,0.00,0.00,0,99999
3,13.24,0.00,0.00,0.00,0.00,59.39,0.00,59.76,0.00,0.00,0,59999
4,13.34,0.00,0.00,0.00,0.00,59.91,0.00,60.15,0.00,0.00,0,39999
5,13.66,0.00,0.00,0.00,0.00,61.06,0.00,61.91,0.00,0.00,0,9999
6,13.50,0.00,0.00,0.00,0.00,60.57,0.00,60.97,0.00,0.00,0,19999
7,13.18,0.00,0.00,0.00,0.00,59.08,0.00,59.50,0.00,0.00,0,79999
8,13.11,0.00,0.00,0.00,0.00,58.69,0.00,59.27,0.00,0.00,0,109999
9,13.09,0.00,0.00,0.00,0.00,58.60,0.00,59.21,0.00,0.00,0,119999
10,13.41,0.00,0.00,0.00,0.00,60.23,0.00,60.48,0.00,0.00,0,29999
11,13.20,0.00,0.00,0.00,0.00,59.22,0.00,59.62,0.00,0.00,0,69999
