,Unnamed: 0,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,3.34,0.0,0.0,0.0,0.0,16.28,0.0,13.79,0.0,0.0,0,3999
1,1.0,3.52,0.0,0.0,0.0,0.0,15.92,0.0,15.76,0.0,0.0,0,47999
2,2.0,3.29,0.0,0.0,0.0,0.0,15.05,0.0,14.55,0.0,0.0,0,59999
3,3.0,3.98,0.0,0.0,0.0,0.0,17.76,0.0,18.03,0.0,0.0,0,11999
4,4.0,3.69,0.0,0.0,0.0,0.0,17.08,0.0,16.16,0.0,0.0,0,39999
5,5.0,4.08,0.0,0.0,0.0,0.0,17.81,0.0,18.95,0.0,0.0,0,15999
6,6.0,3.44,0.0,0.0,0.0,0.0,15.78,0.0,15.16,0.0,0.0,0,51999
7,7.0,3.19,0.0,0.0,0.0,0.0,14.19,0.0,14.5,0.0,0.0,0,43999
8,8.0,3.98,0.0,0.0,0.0,0.0,18.54,0.0,17.32,0.0,0.0,0,31999
9,9.0,4.22,0.0,0.0,0.0,0.0,18.81,0.0,19.18,0.0,0.0,0,19999
10,10.0,3.42,0.0,0.0,0.0,0.0,15.74,0.0,15.06,0.0,0.0,0,55999
11,11.0,3.94,0.0,0.0,0.0,0.0,18.41,0.0,17.02,0.0,0.0,0,35999
12,12.0,3.67,0.0,0.0,0.0,0.0,17.74,0.0,15.26,0.0,0.0,0,7999
13,13.0,4.1,0.0,0.0,0.0,0.0,18.78,0.0,18.15,0.0,0.0,0,27999
14,14.0,3.63,0.0,0.0,0.0,0.0,16.69,0.0,15.96,0.0,0.0,0,63999
15,15.0,4.24,0.0,0.0,0.0,0.0,19.54,0.0,18.65,0.0,0.0,0,23999
16,,3.70,0.00,0.00,0.00,0.00,19.06,0.00,14.21,0.00,0.00,0,115999
17,,3.60,0.00,0.00,0.00,0.00,19.75,0.00,12.68,0.00,0.00,0,151999
18,,3.57,0.00,0.00,0.00,0.00,17.71,0.00,14.38,0.00,0.00,0,143999
19,,3.68,0.00,0.00,0.00,0.00,19.07,0.00,14.03,0.00,0.00,0,127999
20,,3.36,0.00,0.00,0.00,0.00,16.66,0.00,13.59,0.00,0.00,0,91999
21,,3.31,0.00,0.00,0.00,0.00,15.10,0.00,14.68,0.00,0.00,0,67999
22,,3.35,0.00,0.00,0.00,0.00,16.31,0.00,13.80,0.00,0.00,0,87999
23,,3.49,0.00,0.00,0.00,0.00,17.41,0.00,14.01,0.00,0.00,0,95999
24,,3.53,0.00,0.00,0.00,0.00,17.63,0.00,14.15,0.00,0.00,0,139999
25,,3.68,0.00,0.00,0.00,0.00,18.95,0.00,14.18,0.00,0.00,0,111999
26,,3.50,0.00,0.00,0.00,0.00,17.70,0.00,13.79,0.00,0.00,0,99999
27,,3.76,0.00,0.00,0.00,0.00,19.99,0.00,13.88,0.00,0.00,0,131999
28,,3.64,0.00,0.00,0.00,0.00,18.51,0.00,14.27,0.00,0.00,0,107999
29,,3.56,0.00,0.00,0.00,0.00,17.93,0.00,14.09,0.00,0.00,0,123999
30,,3.58,0.00,0.00,0.00,0.00,18.57,0.00,13.68,0.00,0.00,0,147999
31,,3.61,0.00,0.00,0.00,0.00,18.52,0.00,14.00,0.00,0.00,0,103999
32,,3.54,0.00,0.00,0.00,0.00,18.04,0.00,13.79,0.00,0.00,0,159999
33,,3.45,0.00,0.00,0.00,0.00,16.53,0.00,14.56,0.00,0.00,0,79999
34,,3.37,0.00,0.00,0.00,0.00,16.28,0.00,14.09,0.00,0.00,0,83999
35,,3.70,0.00,0.00,0.00,0.00,21.16,0.00,12.11,0.00,0.00,0,155999
36,,3.45,0.00,0.00,0.00,0.00,16.13,0.00,14.92,0.00,0.00,0,71999
37,,3.56,0.00,0.00,0.00,0.00,19.35,0.00,12.72,0.00,0.00,0,163999
38,,3.64,0.00,0.00,0.00,0.00,18.84,0.00,13.91,0.00,0.00,0,119999
39,,3.54,0.00,0.00,0.00,0.00,16.43,0.00,15.42,0.00,0.00,0,75999
40,,3.49,0.00,0.00,0.00,0.00,17.53,0.00,13.86,0.00,0.00,0,135999
